Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Txomin Zubiri,2000439530.0,11.0,6.333333333333333,0.0,8.0,5.0,8.666666666666666,4.666666666666667,14.5,8.0,3.0,12.0,10.0,7.4,5.333333333333333,8.25,12.333333333333334,0.0,7.0,11.0,2.0,0.0
Eugenio,2000196447.0,13.0,8.333333333333334,6.0,10.5,13.5,10.666666666666666,8.666666666666666,11.5,10.5,11.5,10.5,10.25,9.6,10.666666666666666,11.0,10.666666666666666,4.0,13.0,12.5,7.333333333333333,8.0
Ángel Rueda,2000053923.0,9.5,3.8333333333333335,11.0,12.0,3.5,6.333333333333333,3.6666666666666665,9.75,12.0,2.5,8.5,10.0,5.0,12.166666666666666,12.375,8.333333333333334,0.0,5.5,13.0,2.0,15.0
Jesús María Lope,2000680621.0,15.0,7.0,8.0,9.5,8.0,7.0,5.666666666666667,7.0,9.5,5.5,10.0,8.75,5.6,11.0,4.25,9.333333333333334,0.0,8.5,4.5,3.6666666666666665,12.0
Jeremy Socorro,67275291.0,2.5,9.0,8.0,9.5,9.5,10.333333333333334,5.0,12.0,9.5,7.5,11.0,11.625,10.2,9.0,12.75,10.333333333333334,9.0,7.5,8.0,3.5,14.0
Iván Gil,67277668.0,3.0,9.333333333333334,7.0,6.5,11.5,10.666666666666666,10.666666666666666,10.5,6.5,10.5,9.0,12.75,10.8,4.333333333333333,12.25,9.0,10.0,13.5,7.0,10.333333333333334,7.0
Mati,2000556504.0,15.0,2.0,5.0,3.5,8.0,7.666666666666667,8.666666666666666,7.75,3.5,8.0,3.5,12.75,5.8,2.3333333333333335,12.0,5.166666666666667,8.0,9.0,13.0,9.0,0.0
Ale Sánchez,2000512877.0,10.0,6.666666666666667,4.0,3.5,10.0,10.666666666666666,10.333333333333334,8.5,3.5,10.0,6.5,11.0,9.0,2.3333333333333335,12.5,8.0,11.0,11.5,7.5,7.333333333333333,3.5
Martín Alonso,2000681854.0,8.5,12.0,9.5,6.25,9.0,11.333333333333334,9.166666666666666,12.0,6.25,10.75,9.0,14.375,11.4,4.166666666666667,14.375,12.333333333333334,9.0,10.0,12.0,5.166666666666667,11.5
Gustavo Abizanda,67293305.0,7.0,8.666666666666666,6.0,1.5,12.5,12.333333333333334,11.333333333333334,11.0,1.5,11.5,6.0,8.75,10.8,1.0,11.75,10.333333333333334,13.0,11.5,6.5,8.333333333333334,4.0
