Player,UID,CD,BPD,NNCB,Lib
Juan Pérez,67217545.0,8.7,8.5,8.6,7.75
Oriol Valentín,2000632214.0,12.95,13.45,13.25,11.6
Álex López,67257948.0,12.0,13.1,11.9,13.9
Antonio Sánchez,2000570832.0,14.35,13.5,14.25,11.35
Manuel Jesús Romero,2000194994.0,11.6,10.5,11.3,11.5
Jonay Prieto,2000197151.0,7.45,8.1,7.95,9.5
Xisco Cardona,2000572821.0,8.45,9.7,9.05,10.85
Babacar Faye,2000197156.0,8.9,9.7,8.9,11.2
Bernardo,2000440739.0,7.25,7.85,7.05,7.95
Julio Nsi,2000629231.0,9.8,9.85,9.65,11.35
Cristo,67211796.0,6.7,7.8,6.4,10.0
Dorian Vera,2000514439.0,6.5,7.35,6.5,4.8
Stefan Bajčetić,2000082598.0,11.6,11.8,12.0,10.3
Fran,2000666004.0,11.15,10.8,11.55,11.05
Elliot,67256517.0,8.6,8.9,8.2,10.1
Lubomir Toth,2000626733.0,9.0,9.8,9.2,10.6
Jorge Álvarez,2000202563.0,9.0,7.7,8.8,7.5
Iván Calero,67176056.0,10.8,11.4,10.2,12.6
Nacho Méndez,67248345.0,9.2,10.1,9.2,11.6
Javier Alonso,2000443218.0,6.6,7.8,7.1,8.0
