Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Agustín Kranevitter,2000612966.0,17.0,10.666666666666666,1.0,11.5,8.0,9.666666666666666,7.0,11.5,11.5,5.0,10.5,11.5,9.8,8.0,11.0,11.666666666666666,3.0,9.5,13.0,3.3333333333333335,3.0
Özgün Karatepe,2000631119.0,12.0,11.333333333333334,9.0,13.5,10.0,11.333333333333334,9.666666666666666,13.0,13.5,10.0,14.0,13.5,10.6,13.333333333333334,13.0,13.666666666666666,8.0,9.5,11.0,7.333333333333333,11.0
David Krecek,2000569970.0,15.0,14.333333333333334,12.0,11.5,7.0,9.0,6.0,13.5,11.5,7.0,10.5,15.5,11.4,11.333333333333334,14.0,13.333333333333334,6.0,7.0,14.5,4.666666666666667,14.0
Mateo Gómez,2000512705.0,16.0,9.0,10.0,11.5,8.0,10.666666666666666,7.666666666666667,10.5,11.5,6.5,10.5,12.75,9.6,11.666666666666666,12.25,10.666666666666666,6.0,8.0,13.5,6.0,11.0
Antonio Navarro,2000571902.0,9.0,11.333333333333334,4.0,10.5,10.5,11.0,9.333333333333334,14.5,10.5,10.0,11.0,13.75,11.4,9.666666666666666,14.5,13.0,8.0,10.5,11.0,6.333333333333333,9.0
Scott Diaz,2000706461.0,8.0,13.333333333333334,14.0,12.5,14.0,12.333333333333334,13.333333333333334,13.5,12.5,12.0,11.5,14.25,12.4,11.0,12.75,14.0,11.0,15.5,9.5,10.666666666666666,9.0
Manuel Bosch,2000514796.0,12.0,9.666666666666666,7.0,10.5,14.5,12.666666666666666,11.666666666666666,10.5,10.5,13.0,11.5,9.5,11.4,11.333333333333334,14.25,10.333333333333334,15.0,15.0,12.0,11.0,9.0
Gonzalo Cuadros,2000647507.0,10.0,11.666666666666666,5.0,10.5,15.0,12.0,12.333333333333334,12.5,10.5,13.0,9.0,11.5,12.0,8.666666666666666,14.75,12.0,10.0,15.5,10.5,11.333333333333334,5.0
Koldo Valencia,2000663358.0,6.0,9.333333333333334,7.0,9.0,14.0,11.333333333333334,12.0,10.5,9.0,12.5,9.5,14.25,10.6,7.666666666666667,13.5,10.0,10.0,13.0,8.0,11.666666666666666,10.0
Víctor,2000440738.0,9.0,13.0,11.0,12.5,13.5,12.333333333333334,13.0,12.0,12.5,13.5,12.5,9.75,12.6,11.0,12.75,12.333333333333334,13.0,14.0,13.5,11.666666666666666,10.0
Carl Mooney,2000410920.0,9.0,12.666666666666666,12.0,9.0,14.5,12.666666666666666,9.333333333333334,13.5,9.0,13.0,10.5,8.25,12.4,7.333333333333333,12.5,13.666666666666666,15.0,11.0,11.5,13.0,4.0
Aritz García,2000439255.0,15.0,10.666666666666666,11.0,11.5,8.0,11.0,7.0,12.5,11.5,7.0,12.5,13.5,10.4,12.0,13.0,12.666666666666666,5.0,8.5,15.0,6.666666666666667,15.0
Stefán Þór Jónsson,2000531873.0,16.0,10.666666666666666,8.0,9.0,8.5,9.666666666666666,8.0,12.0,9.0,8.0,10.0,13.5,9.6,10.0,11.0,12.333333333333334,8.0,9.5,11.5,6.0,17.0
Francesco Zamuner,2000626880.0,11.0,11.333333333333334,8.0,11.0,14.5,10.666666666666666,12.666666666666666,11.5,11.0,12.5,11.0,14.25,10.6,10.666666666666666,12.5,12.0,10.0,14.5,12.0,11.666666666666666,11.0
Agustín Agirre,2000439259.0,13.0,10.333333333333334,7.0,12.0,14.0,13.666666666666666,10.0,12.0,12.0,9.0,11.5,13.5,11.6,12.666666666666666,13.5,12.666666666666666,9.0,12.0,14.0,9.666666666666666,12.0
Vicente,2000571659.0,12.0,9.666666666666666,5.0,9.0,14.5,11.333333333333334,10.333333333333334,11.5,9.0,11.0,9.0,11.25,11.0,7.666666666666667,15.5,10.333333333333334,12.0,12.0,12.0,10.0,5.0
Felipe,2000510074.0,13.0,11.333333333333334,11.0,10.0,10.5,12.0,11.333333333333334,12.0,10.0,13.0,11.5,13.0,11.6,9.333333333333334,14.5,12.0,15.0,11.0,15.0,10.666666666666666,7.0
Alen Bartolović,2000506471.0,14.0,9.333333333333334,11.0,9.0,13.0,11.333333333333334,9.333333333333334,10.0,9.0,14.0,9.5,9.75,10.6,7.333333333333333,14.5,9.666666666666666,13.0,11.5,12.5,11.333333333333334,5.0
Raffaele Russo,2000324450.0,14.0,14.0,3.0,10.0,6.0,7.666666666666667,5.0,14.0,10.0,3.5,7.5,12.75,11.6,7.0,13.25,11.666666666666666,1.0,6.5,13.0,3.3333333333333335,1.0
Saverio van Lopik,2000437951.0,12.0,10.666666666666666,5.0,10.0,13.0,12.333333333333334,11.333333333333334,11.5,10.0,10.5,10.5,8.25,11.8,8.333333333333334,10.75,11.0,13.0,14.0,10.0,10.666666666666666,8.0
Harald Klingmann,2000504134.0,16.0,11.0,10.0,12.0,12.0,9.333333333333334,10.0,11.0,12.0,11.5,12.5,13.25,9.6,12.0,13.25,11.666666666666666,7.0,12.0,12.5,9.0,14.0
