Player,UID,GK,DR,DL,DC,WBR,WBL,DM,MR,ML,MC,AMR,AML,AMC,STC
Agustín Kranevitter,2000612966,10.91,9.13,9.13,9.14,8.78,8.78,8.91,8.38,8.38,8.86,8.2,8.2,8.66,7.96
Özgün Karatepe,2000631119,13.72,12.7,12.7,12.72,12.46,12.46,12.22,12.05,12.05,11.93,12.24,12.24,11.9,11.69
David Krecek,2000569970,12.45,11.95,11.95,12.01,11.63,11.63,11.57,11.04,11.04,11.31,11.22,11.22,11.18,10.87
Mateo Gómez,2000512705,12.05,11.18,11.18,11.55,10.81,10.81,10.62,10.29,10.29,10.31,10.34,10.34,10.21,10.23
Antonio Navarro,2000571902,13.08,11.67,11.67,10.98,11.63,11.63,11.07,11.25,11.25,11.02,11.44,11.44,11.27,10.29
Scott Diaz,2000706461,12.68,11.94,11.94,11.58,11.99,11.99,11.82,12.04,12.04,12.04,12.0,12.0,12.22,11.78
Manuel Bosch,2000514796,11.94,12.19,12.19,11.85,12.48,12.48,12.03,12.3,12.3,12.45,12.47,12.47,12.65,12.13
Gonzalo Cuadros,2000647507,11.26,10.99,10.99,10.24,11.32,11.32,11.11,11.65,11.65,11.78,11.79,11.79,12.01,11.08
Koldo Valencia,2000663358,11.46,11.06,11.06,10.0,11.32,11.32,10.88,11.57,11.57,11.26,11.79,11.79,11.59,11.02
Víctor,2000440738,11.23,11.67,11.67,11.17,11.99,11.99,11.8,12.12,12.12,12.03,12.12,12.12,12.23,12.12
Carl Mooney,2000410920,10.31,10.66,10.66,9.89,11.11,11.11,10.57,11.39,11.39,11.12,11.62,11.62,11.61,12.05
Aritz García,2000439255,12.88,11.8,11.8,12.22,11.27,11.27,11.45,10.67,10.67,10.92,10.69,10.69,10.66,10.47
Stefán Þór Jónsson,2000531873,11.65,11.24,11.24,11.59,10.9,10.9,11.1,10.32,10.32,10.59,10.33,10.33,10.31,10.06
Francesco Zamuner,2000626880,12.4,11.75,11.75,11.48,11.72,11.72,11.74,11.7,11.7,11.84,11.65,11.65,11.86,11.31
Agustín Agirre,2000439259,12.91,12.33,12.33,12.43,12.04,12.04,12.23,11.64,11.64,12.08,11.64,11.64,11.82,11.34
Vicente,2000571659,12.02,11.08,11.08,10.24,11.32,11.32,10.65,11.58,11.58,11.23,11.74,11.74,11.77,11.37
Felipe,2000510074,12.08,11.99,11.99,11.52,12.27,12.27,11.62,12.31,12.31,11.92,12.46,12.46,12.14,12.34
Alen Bartolović,2000506471,10.43,10.69,10.69,9.99,11.09,11.09,10.38,11.35,11.35,11.03,11.64,11.64,11.57,11.75
Raffaele Russo,2000324450,11.15,9.43,9.43,8.92,9.2,9.2,9.05,8.98,8.98,9.36,8.99,8.99,9.46,8.15
Saverio van Lopik,2000437951,10.2,10.49,10.49,9.99,10.73,10.73,10.82,10.9,10.9,11.37,10.85,10.85,11.32,10.64
Harald Klingmann,2000504134,12.48,11.93,11.93,12.02,11.7,11.7,11.62,11.32,11.32,11.31,11.37,11.37,11.32,11.17
Jannis Emde,2000504247,12.0,11.08,11.08,10.44,11.31,11.31,10.78,11.52,11.52,11.32,11.63,11.63,11.68,11.22
Buster Juul Vibe,2000566892,11.11,11.16,11.16,10.34,11.59,11.59,10.88,11.89,11.89,11.4,12.26,12.26,12.01,11.93
Matt Bonfield,2000567798,12.52,11.49,11.49,11.31,11.23,11.23,11.0,10.82,10.82,10.86,10.94,10.94,10.84,10.1
Leandro Alves,2000568887,11.11,10.66,10.66,10.13,10.94,10.94,10.26,11.24,11.24,10.65,11.56,11.56,11.36,11.93
Roberto van Brakel,2000572868,10.63,11.18,11.18,10.06,11.73,11.73,11.01,12.04,12.04,11.74,12.28,12.28,12.15,11.65
Kian Van Den Bergh,2000632259,10.68,10.94,10.94,9.91,11.48,11.48,10.88,11.82,11.82,11.26,12.14,12.14,11.78,11.29
Ronald Woudenberg,2000633117,10.71,8.84,8.84,8.93,8.51,8.51,8.67,8.23,8.23,8.63,8.19,8.19,8.51,7.57
Lukas Chrenko,2000662685,12.38,12.08,12.08,12.14,11.89,11.89,12.15,11.49,11.49,11.62,11.59,11.59,11.55,11.17
Álvaro Sánchez,2000685713,10.8,10.87,10.87,9.77,11.3,11.3,10.71,11.76,11.76,11.27,11.97,11.97,11.68,11.08
