Player,UID,FB,WB,IWB,CWB,NNFB
Víctor,2000440738,10.9,11.1,11.4,11.69,10.3
Scott Diaz,2000706461,11.3,10.5,11.4,11.38,11.2
Leandro Alves,2000568887,8.7,8.9,7.8,9.08,8.2
Özgün Karatepe,2000631119,13.4,12.3,12.4,11.77,13.6
Federico Trinidad,2000561699,9.1,9.2,8.8,10.15,8.0
Alen Bartolović,2000506471,9.5,10.2,8.7,10.46,7.8
Saverio van Lopik,2000437951,9.0,9.2,10.6,10.31,8.4
Gonzalo Cuadros,2000647507,9.9,9.7,10.2,10.92,8.3
Vicente,2000571659,9.1,9.4,8.6,10.23,8.3
Manuel Bosch,2000514796,11.8,11.9,11.7,12.46,10.6
Jannis Emde,2000504247,9.6,9.2,9.6,10.08,9.4
Harald Klingmann,2000504134,12.9,11.2,11.7,11.15,12.7
Aritz García,2000439255,12.9,10.5,11.5,9.92,13.5
Carl Mooney,2000410920,10.7,10.1,9.5,10.62,8.4
Álvaro Sánchez,2000685713,9.9,9.9,9.1,10.77,7.9
Francesco Zamuner,2000626880,11.3,10.8,11.8,11.54,11.9
Roberto van Brakel,2000572868,10.4,10.8,10.0,11.38,8.9
Mateo Gómez,2000512705,11.2,10.1,10.6,9.69,12.0
Felipe,2000510074,11.9,12.3,10.8,11.85,11.2
David Krecek,2000569970,13.8,11.5,12.4,10.54,14.0
Agustín Agirre,2000439259,12.8,11.3,13.0,11.77,13.3
Kian Van Den Bergh,2000632259,11.1,11.5,9.4,11.38,8.8
Agustín Kranevitter,2000612966,8.6,6.0,9.2,6.69,9.2
Antonio Navarro,2000571902,12.3,10.8,10.5,10.54,11.5
Buster Juul Vibe,2000566892,9.9,10.5,9.5,10.85,8.3
Lukas Chrenko,2000662685,13.3,11.8,12.9,11.54,13.5
Matt Bonfield,2000567798,12.2,11.1,11.6,10.38,12.0
Stefán Þór Jónsson,2000531873,12.5,10.8,11.6,10.38,13.2
Raffaele Russo,2000324450,8.9,6.4,8.5,6.38,8.6
Ronald Woudenberg,2000633117,8.3,6.6,8.4,6.54,8.4
