Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Lirim Kastrati,24058534.0,7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5,alaves
Rafa Mir,67221051.0,14.0,10.5,16.0,11.0,12.25,13.333333333333334,10.875,10.5,11.0,12.0,12.5,10.25,11.6,9.666666666666666,14.375,11.5,13.25,11.666666666666666,14.0,8.25,alaves
Joseph Ngwem,2000202611.0,10.5,13.666666666666666,12.0,9.75,11.0,11.166666666666666,11.5,13.25,9.75,12.5,9.75,12.75,12.1,7.166666666666667,15.125,13.5,13.0,11.833333333333334,14.75,9.25,alaves
Luca Sangalli,67190076.0,4.5,12.5,3.5,12.0,13.25,11.5,12.25,13.5,12.0,11.75,11.25,15.75,12.4,11.833333333333334,10.75,12.333333333333334,12.0,12.833333333333334,12.5,11.5,alaves
Borja Sainz,67277845.0,8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75,alaves
Ramiro Gabarri,2000198124.0,7.0,11.0,12.0,8.75,14.0,12.5,13.5,9.25,8.75,14.0,10.25,9.25,11.5,6.666666666666667,15.625,10.5,12.5,14.5,13.75,8.25,albacete
Mamadou Coly,2000440193.0,11.0,9.5,5.0,7.0,11.0,11.5,11.5,8.5,7.0,12.5,8.5,10.75,10.2,7.666666666666667,14.75,9.666666666666666,9.5,11.0,11.5,7.25,albacete
Alberto,2000512206.0,12.0,12.833333333333334,9.0,10.25,14.0,12.666666666666666,13.5,10.75,10.25,15.0,11.5,10.625,12.7,8.833333333333334,13.375,11.5,13.5,14.0,11.75,9.75,albacete
Kike Barja,67196202.0,7.0,13.666666666666666,8.0,10.5,14.0,13.833333333333334,12.875,13.75,10.5,14.5,12.0,10.25,14.1,8.833333333333334,12.375,13.166666666666666,12.75,12.833333333333334,10.25,10.0,albacete
Raúl De Tomás,67156425.0,10.0,12.166666666666666,13.0,12.5,13.75,13.333333333333334,13.75,12.75,12.5,10.5,13.25,10.375,13.0,9.333333333333334,11.25,12.333333333333334,14.5,13.666666666666666,11.75,11.25,albacete
