Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
José Curras,67294881.0,15.0,12.166666666666666,6.0,10.5,11.75,13.333333333333334,10.125,13.5,10.5,11.0,12.5,12.5,12.4,11.333333333333334,13.625,13.833333333333334,8.75,10.666666666666666,11.0,10.5,alaves
Arnar Bragason,2000357424.0,12.0,10.666666666666666,10.0,12.0,10.75,12.0,10.125,10.5,12.0,9.25,13.25,14.0,10.4,12.666666666666666,13.5,12.333333333333334,10.5,11.0,14.5,14.5,alaves
Arnau Comas,67258409.0,15.0,12.166666666666666,14.0,12.75,11.0,10.0,10.75,11.75,12.75,8.5,12.25,13.75,11.0,12.833333333333334,13.75,11.666666666666666,9.0,12.0,14.5,13.25,alaves
Ibrahim Sangaré,48042717.0,17.5,11.5,11.0,13.0,12.5,12.833333333333334,12.125,12.0,13.0,11.25,13.0,12.0,12.1,13.166666666666666,12.5,12.166666666666666,12.0,12.833333333333334,15.25,13.25,alaves
David Martínez,14136117.0,12.0,14.0,12.0,15.0,12.5,11.833333333333334,12.75,12.75,15.0,11.5,14.25,12.0,12.5,14.666666666666666,13.375,13.5,11.5,14.166666666666666,12.75,14.0,alaves
Samir Kacem,2000433838.0,13.0,12.666666666666666,11.0,10.5,13.0,11.666666666666666,10.5,13.25,10.5,9.5,11.0,14.875,11.4,11.333333333333334,14.125,14.166666666666666,7.5,11.666666666666666,14.75,12.0,alaves
Juan Ángel Muñoz,2000512204.0,16.0,14.0,11.0,13.0,9.0,10.833333333333334,9.0,14.25,13.0,7.0,10.75,12.0,12.1,12.666666666666666,12.625,14.166666666666666,8.5,9.5,12.25,12.0,albacete
Ricardo Peralta,2000438819.0,18.0,13.0,11.0,10.5,7.75,10.666666666666666,6.875,16.25,10.5,8.5,11.0,13.25,11.7,10.333333333333334,11.125,15.0,8.25,8.0,10.0,11.5,albacete
Fali,67155014.0,13.0,13.5,14.0,11.75,12.0,10.0,10.5,13.25,11.75,8.5,12.25,16.0,11.6,12.5,8.0,13.0,10.5,10.833333333333334,9.25,12.25,albacete
Antonio Sánchez,67272744.0,7.0,12.166666666666666,10.0,12.75,9.25,12.333333333333334,10.5,11.75,12.75,9.0,12.75,12.375,12.2,11.833333333333334,12.0,12.0,13.5,11.5,11.75,13.25,albacete
Junior Esparragoza,2000179937.0,13.0,11.833333333333334,9.0,11.5,6.75,12.666666666666666,7.125,12.0,11.5,7.0,12.0,12.5,11.6,12.333333333333334,12.625,13.166666666666666,8.75,8.0,13.0,10.5,albacete
Marc Jurado,2000032704.0,10.0,12.0,9.0,13.0,14.5,13.666666666666666,13.25,12.5,13.0,14.0,13.5,11.25,12.4,12.666666666666666,16.0,13.333333333333334,12.5,14.0,13.5,12.5,amadrd
Nehuén Pérez,14181374.0,14.0,15.0,13.0,15.5,11.0,11.333333333333334,11.5,13.5,15.5,10.5,16.0,15.25,12.4,15.666666666666666,15.75,14.666666666666666,12.0,13.0,14.0,15.5,amadrd
Malang Sarr,48036830.0,13.0,13.0,14.0,14.5,14.0,13.0,13.75,13.5,14.5,12.5,15.5,14.25,13.0,14.333333333333334,15.75,13.333333333333334,13.5,14.333333333333334,15.5,14.5,amadrd
Gonzalo Sánchez,2000416515.0,7.0,14.666666666666666,12.0,14.0,14.5,12.666666666666666,11.25,16.5,14.0,11.5,14.5,12.5,13.6,13.333333333333334,17.25,15.666666666666666,13.5,12.666666666666666,13.5,13.0,amadrd
José Giménez,78060464.0,12.0,14.333333333333334,15.0,16.0,12.5,13.333333333333334,13.0,15.5,16.0,10.5,16.0,15.5,13.4,15.666666666666666,10.75,15.666666666666666,13.0,13.666666666666666,11.5,16.0,amadrd
Dimo Krastev,22081455.0,18.0,13.333333333333334,13.0,14.25,11.5,13.666666666666666,11.75,12.5,14.25,11.0,13.0,11.625,13.4,13.833333333333334,13.5,13.0,12.5,13.0,15.25,14.5,amadrd
