Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Schurrle,83223653.0,7.0,14.666666666666666,9.0,11.0,12.5,14.833333333333334,12.375,13.75,11.0,13.5,13.0,9.5,14.9,11.166666666666666,12.375,13.833333333333334,13.75,12.833333333333334,11.25,11.0,alaves
Ibrahim Sangaré,48042717.0,17.5,11.5,11.0,13.0,12.5,12.833333333333334,12.125,12.0,13.0,11.25,13.0,12.0,12.1,13.166666666666666,12.5,12.166666666666666,12.0,12.833333333333334,15.25,13.25,alaves
Xabier Garmendia,2000631378.0,16.0,14.666666666666666,12.0,11.25,15.5,15.166666666666666,11.125,15.5,11.25,14.5,12.0,12.625,14.7,10.333333333333334,15.625,15.666666666666666,14.75,12.833333333333334,14.75,7.25,alaves
Adil Aouchiche,49048441.0,13.0,13.166666666666666,9.0,11.75,14.25,12.666666666666666,14.375,11.75,11.75,14.5,13.75,10.625,13.0,9.833333333333334,14.75,12.0,16.0,15.333333333333334,12.5,12.25,alaves
Luca Sangalli,67190076.0,4.5,12.5,3.5,12.0,13.25,11.5,12.25,13.5,12.0,11.75,11.25,15.75,12.4,11.833333333333334,10.75,12.333333333333334,12.0,12.833333333333334,12.5,11.5,alaves
Suleimane Rodrigues,2000190096.0,12.5,11.166666666666666,8.0,11.0,12.5,11.5,12.875,10.0,11.0,11.25,10.5,10.75,11.1,11.166666666666666,11.75,10.833333333333334,11.0,13.833333333333334,13.25,10.25,alaves
Rubén Garrido,2000515088.0,11.5,14.5,8.5,10.75,12.5,12.0,12.875,14.75,10.75,11.0,12.75,11.0,13.3,8.333333333333334,12.875,14.166666666666666,14.0,13.666666666666666,13.75,12.5,alaves
Ramiro Gabarri,2000198124.0,7.0,11.0,12.0,8.75,14.0,12.5,13.5,9.25,8.75,14.0,10.25,9.25,11.5,6.666666666666667,15.625,10.5,12.5,14.5,13.75,8.25,albacete
Gustavo Zamora,2000512210.0,10.5,12.333333333333334,10.0,8.75,15.75,13.166666666666666,10.375,11.0,8.75,13.5,10.5,8.875,12.9,7.333333333333333,15.25,11.333333333333334,13.75,12.5,11.75,8.25,albacete
Luis Nsambi,2000631649.0,16.0,15.833333333333334,7.0,9.0,15.0,12.833333333333334,11.25,16.25,9.0,15.25,10.5,9.625,15.1,8.333333333333334,13.0,14.333333333333334,13.75,13.5,10.0,10.5,albacete
Álex Olmedo,2000034591.0,4.0,12.0,9.0,9.0,15.5,11.666666666666666,11.5,13.0,9.0,12.0,9.5,9.25,12.2,7.666666666666667,13.0,12.0,10.0,13.0,10.5,9.5,albacete
Chema Nuñez,67232678.0,5.0,11.166666666666666,7.0,11.5,13.5,13.333333333333334,12.375,11.0,11.5,12.25,11.5,10.0,12.6,10.833333333333334,12.0,10.833333333333334,11.5,12.833333333333334,8.75,8.75,albacete
Antonio Sánchez,67272744.0,7.0,12.166666666666666,10.0,12.75,9.25,12.333333333333334,10.5,11.75,12.75,9.0,12.75,12.375,12.2,11.833333333333334,12.0,12.0,13.5,11.5,11.75,13.25,albacete
Francisco Jesús Carbonell,2000440196.0,9.0,15.0,13.0,12.0,14.0,14.833333333333334,11.875,16.25,12.0,13.0,13.5,11.25,15.3,11.5,13.875,15.166666666666666,12.75,13.166666666666666,12.25,11.5,albacete
Simone Panada,43425634.0,11.0,15.0,10.0,13.5,13.5,15.0,12.75,13.5,13.5,13.0,13.0,12.25,14.8,13.0,14.75,14.333333333333334,12.5,13.666666666666666,14.5,12.5,amadrd
Pierre Dwomoh,2000006277.0,16.0,13.333333333333334,12.0,12.0,16.5,15.333333333333334,15.25,13.0,12.0,16.0,14.0,12.75,14.2,11.0,14.5,13.666666666666666,15.5,16.0,11.5,11.5,amadrd
0,62127037.0,16.0,16.0,16.0,12.5,16.0,15.666666666666666,13.75,14.5,12.5,14.5,12.0,15.5,15.8,11.333333333333334,13.25,15.0,15.0,15.0,15.5,12.5,amadrd
Nikola Stanković,2000211075.0,13.5,12.5,9.5,11.25,14.5,12.666666666666666,15.125,12.25,11.25,15.0,12.75,11.75,12.5,9.666666666666666,17.25,12.5,14.5,16.0,14.25,12.5,amadrd
Manoel Azambuja,2000410625.0,10.0,15.5,12.0,14.0,17.0,18.166666666666668,15.5,16.0,14.0,18.0,15.0,11.75,16.9,12.666666666666666,16.375,16.166666666666668,17.0,16.0,14.5,13.5,amadrd
Thomas Lemar,85093001.0,6.0,13.666666666666666,6.0,12.0,17.0,14.0,16.25,13.0,12.0,16.0,13.5,12.25,14.0,10.333333333333334,14.0,13.0,14.0,16.333333333333332,10.0,10.5,amadrd
Marcos Llorente,67196198.0,10.0,13.5,11.0,14.0,13.5,14.0,13.375,15.0,14.0,11.75,14.5,14.5,13.8,13.833333333333334,11.25,14.5,12.5,14.5,13.25,14.25,amadrd
Dimo Krastev,22081455.0,18.0,13.333333333333334,13.0,14.25,11.5,13.666666666666666,11.75,12.5,14.25,11.0,13.0,11.625,13.4,13.833333333333334,13.5,13.0,12.5,13.0,15.25,14.5,amadrd
Frank Onyeka,27129125.0,13.0,13.333333333333334,11.0,14.75,12.5,12.333333333333334,12.25,13.5,14.75,11.0,14.5,16.375,12.8,13.833333333333334,16.0,13.333333333333334,14.5,13.666666666666666,13.75,15.0,amadrd
Lamine Silva,2000438826.0,16.0,15.0,9.5,13.5,10.25,12.333333333333334,9.75,14.5,13.5,11.0,12.0,14.75,12.9,13.333333333333334,15.125,15.5,9.25,11.833333333333334,15.5,12.5,amadrd
Noël Roux,2000188122.0,6.0,13.166666666666666,9.0,12.0,13.5,14.0,11.75,13.0,12.0,12.5,13.0,12.5,13.5,12.0,17.75,13.333333333333334,11.0,11.666666666666666,15.5,12.5,barc
Florentino Luís,83169817.0,14.0,16.0,11.0,16.5,13.5,14.666666666666666,12.75,16.0,16.5,12.5,17.0,14.5,14.8,15.666666666666666,13.75,16.666666666666668,14.0,14.333333333333334,14.0,16.5,barc
