Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Tackling,Team
Lirim Kastrati,24058534.0,7.0,9.333333333333334,7.0,7.0,10.0,9.333333333333334,8.75,8.0,7.0,11.0,8.0,13.75,9.2,6.166666666666667,15.75,8.666666666666666,12.5,8.666666666666666,11.0,5.5,alaves
0,2000068663.0,14.0,13.166666666666666,15.0,9.75,14.75,13.0,9.5,14.75,9.75,14.0,10.75,10.625,13.2,9.833333333333334,11.125,14.0,12.5,10.5,7.0,9.25,alaves
Xabier Garmendia,2000631378.0,16.0,14.666666666666666,12.0,11.25,15.5,15.166666666666666,11.125,15.5,11.25,14.5,12.0,12.625,14.7,10.333333333333334,15.625,15.666666666666666,14.75,12.833333333333334,14.75,7.25,alaves
Ander Imaz,2000439533.0,5.0,9.166666666666666,7.0,6.5,12.75,12.0,10.875,10.5,6.5,14.0,8.0,10.25,10.8,6.333333333333333,15.625,10.166666666666666,10.75,10.666666666666666,10.5,5.0,alaves
Rafa Mir,67221051.0,14.0,10.5,16.0,11.0,12.25,13.333333333333334,10.875,10.5,11.0,12.0,12.5,10.25,11.6,9.666666666666666,14.375,11.5,13.25,11.666666666666666,14.0,8.25,alaves
Joseph Ngwem,2000202611.0,10.5,13.666666666666666,12.0,9.75,11.0,11.166666666666666,11.5,13.25,9.75,12.5,9.75,12.75,12.1,7.166666666666667,15.125,13.5,13.0,11.833333333333334,14.75,9.25,alaves
Alexander Sørloth,53063430.0,15.0,13.166666666666666,14.0,9.5,12.75,13.0,11.5,13.5,9.5,13.5,14.0,12.5,13.0,8.333333333333334,13.625,13.5,13.75,13.166666666666666,14.0,8.75,alaves
Borja Sainz,67277845.0,8.0,11.166666666666666,11.0,12.5,14.25,12.333333333333334,14.0,11.25,12.5,13.0,10.75,12.625,12.0,11.333333333333334,13.5,11.0,13.0,13.666666666666666,10.75,11.75,alaves
Bright Adjei,2000660374.0,9.0,15.0,8.0,9.5,16.5,13.666666666666666,12.25,14.0,9.5,15.0,10.5,9.5,13.8,8.666666666666666,12.0,15.0,13.5,13.666666666666666,12.5,9.5,albacete
Ezequiel Aranda,14246685.0,5.0,13.0,16.0,12.0,14.75,14.333333333333334,12.875,16.0,12.0,14.75,10.75,11.5,13.4,9.5,15.5,15.666666666666666,14.0,14.666666666666666,15.5,9.25,albacete
Raúl De Tomás,67156425.0,10.0,12.166666666666666,13.0,12.5,13.75,13.333333333333334,13.75,12.75,12.5,10.5,13.25,10.375,13.0,9.333333333333334,11.25,12.333333333333334,14.5,13.666666666666666,11.75,11.25,albacete
Chema Nuñez,67232678.0,5.0,11.166666666666666,7.0,11.5,13.5,13.333333333333334,12.375,11.0,11.5,12.25,11.5,10.0,12.6,10.833333333333334,12.0,10.833333333333334,11.5,12.833333333333334,8.75,8.75,albacete
Pierre Dwomoh,2000006277.0,16.0,13.333333333333334,12.0,12.0,16.5,15.333333333333334,15.25,13.0,12.0,16.0,14.0,12.75,14.2,11.0,14.5,13.666666666666666,15.5,16.0,11.5,11.5,amadrd
João Félix,83169822.0,7.0,14.666666666666666,11.0,11.5,17.0,17.333333333333332,16.0,14.0,11.5,17.5,15.5,13.25,16.0,9.333333333333334,13.75,14.666666666666666,18.0,17.0,12.5,11.5,amadrd
Lorenzo Granelli,2000437491.0,11.0,13.333333333333334,13.0,13.5,16.0,16.0,13.75,13.5,13.5,16.0,14.0,12.25,14.2,11.333333333333334,16.25,14.666666666666666,15.5,15.0,16.5,10.5,amadrd
