Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Andrés Céspedes,2000043877.0,14.05,12.25,14.15,12.8,13.95,12.35,12.4,13.6
José Curras,67294881.0,17.6,17.15,17.3,17.25,17.4,16.9,17.5,17.85
Arnar Bragason,2000357424.0,16.15,15.9,18.8,16.35,16.45,16.3,16.8,17.4
Arnau Comas,67258409.0,16.65,15.15,17.1,15.35,16.6,15.75,16.0,16.2
Javi López,67293674.0,17.75,18.0,16.0,17.35,17.4,19.1,18.85,17.3
Lirim Kastrati,24058534.0,8.85,9.85,10.15,10.85,10.15,10.5,11.2,9.25
Schurrle,83223653.0,19.0,18.3,15.6,18.05,18.3,18.8,18.8,17.35
Ibrahim Sangaré,48042717.0,17.0,16.05,17.6,17.3,16.75,15.9,16.15,17.15
Asier Rodríguez,2000572954.0,12.9,12.75,11.25,12.3,12.4,14.0,13.8,11.65
0,2000068663.0,16.7,15.4,14.3,16.85,16.15,15.9,16.1,15.45
Xabier Garmendia,2000631378.0,19.3,18.65,16.3,20.85,20.1,19.3,21.55,18.35
Carlos Abad,67198215.0,17.7,14.2,15.1,15.45,16.95,13.5,13.2,15.35
David Martínez,14136117.0,19.15,17.65,17.4,17.45,18.45,18.35,18.35,17.9
Ander Imaz,2000439533.0,13.5,14.4,11.3,15.85,15.1,16.65,17.85,13.6
Rafa Mir,67221051.0,16.5,16.05,14.9,16.75,16.0,16.75,17.35,15.15
Samir Kacem,2000433838.0,14.55,13.1,16.7,14.2,14.7,13.05,13.85,15.35
Vyacheslav Karavaev,58076747.0,17.55,17.4,17.5,17.65,17.6,17.75,16.85,17.55
Joseph Ngwem,2000202611.0,15.25,14.8,15.05,16.7,16.65,17.45,18.8,15.1
Birger Meling,29126536.0,16.9,16.3,17.2,17.7,17.3,16.65,15.85,17.35
Adil Aouchiche,49048441.0,16.9,15.55,13.1,15.5,14.8,18.3,18.2,13.4
Alexander Sørloth,53063430.0,17.4,15.55,15.55,16.4,16.25,17.0,18.2,14.95
Luca Sangalli,67190076.0,16.8,15.15,18.0,17.7,17.2,15.05,15.25,16.5
Borja Sainz,67277845.0,17.15,16.9,14.4,16.8,16.7,17.75,17.4,15.4
Suleimane Rodrigues,2000190096.0,15.8,15.3,15.0,16.65,16.45,15.6,15.85,15.55
Stefan Ranđelović,62247042.0,17.8,14.15,16.4,15.75,17.85,14.4,13.5,16.0
Rubén Garrido,2000515088.0,17.2,16.05,15.2,17.65,17.15,17.2,17.35,16.7
