Player,UID,Position
Andrés Céspedes,2000043877,GK
José Curras,67294881,"D (RC), WB (R)"
Arnar Bragason,2000357424,"D (C), DM"
Arnau Comas,67258409,"D (C), DM"
Javi López,67293674,D/WB/M (L)
Lirim Kastrati,24058534,"M/AM (RL), ST (C)"
Schurrle,83223653,M/AM (C)
Ibrahim Sangaré,48042717,"D (C), DM, M (C)"
Asier Rodríguez,2000572954,M/AM (L)
0,2000068663,ST (C)
Xabier Garmendia,2000631378,"M (C), ST (C)"
Carlos Abad,67198215,GK
David Martínez,14136117,D (LC)
Ander Imaz,2000439533,"M/AM (L), ST (C)"
Rafa Mir,67221051,"AM (RLC), ST (C)"
Samir Kacem,2000433838,"D (LC), DM"
Vyacheslav Karavaev,58076747,"D (RL), WB (R)"
Joseph Ngwem,2000202611,"AM (R), ST (C)"
Birger Meling,29126536,D/WB/M/AM (L)
Adil Aouchiche,49048441,M/AM (C)
Alexander Sørloth,53063430,"AM (C), ST (C)"
Luca Sangalli,67190076,"DM, M (C), AM (R)"
Borja Sainz,67277845,"M (RL), AM (R), ST (C)"
Suleimane Rodrigues,2000190096,M/AM (C)
Stefan Ranđelović,62247042,GK
Rubén Garrido,2000515088,M (LC)
