Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Andrés Céspedes,2000043877.0,1087.0,1151.0,1329.5,1106.5,1229.5,1099.0,1274.0,1252.5,1267.0,1381.5
José Curras,67294881.0,1215.0,1434.5,1640.0,1397.5,1589.0,1424.0,1630.0,1609.0,1598.5,1780.5
Arnar Bragason,2000357424.0,1201.5,1441.5,1660.5,1394.5,1612.5,1410.5,1632.5,1583.0,1584.5,1811.5
Arnau Comas,67258409.0,1179.5,1398.0,1635.5,1353.0,1557.5,1382.0,1614.0,1551.0,1570.0,1782.5
Javi López,67293674.0,1217.5,1503.5,1722.0,1492.0,1664.0,1547.5,1743.0,1753.5,1714.0,1984.5
Lirim Kastrati,24058534.0,716.5,910.0,984.0,934.5,985.5,979.5,1080.5,1145.5,1108.0,1301.0
Schurrle,83223653.0,1077.0,1353.5,1539.0,1342.5,1568.5,1404.0,1650.5,1555.5,1594.5,1774.5
Ibrahim Sangaré,48042717.0,1180.5,1436.0,1766.5,1374.5,1584.0,1394.5,1617.5,1550.5,1546.5,1844.5
Asier Rodríguez,2000572954.0,924.0,1076.5,1185.0,1068.5,1156.0,1143.5,1218.5,1295.5,1228.0,1387.0
0,2000068663.0,975.5,1215.0,1434.0,1186.0,1416.0,1271.5,1483.5,1420.0,1456.0,1753.5
Xabier Garmendia,2000631378.0,1161.0,1435.5,1634.0,1428.0,1627.5,1496.0,1760.5,1674.5,1732.0,2051.5
Carlos Abad,67198215.0,1064.0,1131.0,1337.0,1084.5,1262.0,1077.5,1331.0,1173.0,1262.5,1348.0
David Martínez,14136117.0,1186.5,1439.0,1662.5,1415.5,1619.0,1453.5,1689.5,1631.5,1641.0,1846.0
Ander Imaz,2000439533.0,922.0,1176.0,1236.0,1213.5,1315.0,1312.0,1459.5,1491.0,1446.0,1634.5
Rafa Mir,67221051.0,1092.5,1308.5,1511.5,1288.0,1454.0,1345.5,1538.0,1499.0,1519.0,1838.5
Samir Kacem,2000433838.0,1053.0,1231.0,1412.5,1177.0,1333.5,1177.0,1355.0,1316.0,1311.5,1473.0
Vyacheslav Karavaev,58076747.0,1095.0,1375.0,1556.5,1372.0,1546.0,1432.0,1621.0,1602.5,1573.5,1809.5
Joseph Ngwem,2000202611.0,1059.0,1334.5,1460.5,1364.0,1505.5,1474.5,1632.5,1681.0,1648.5,1965.5
Birger Meling,29126536.0,1055.5,1268.5,1412.0,1262.0,1424.5,1319.5,1507.5,1463.0,1442.5,1614.0
Adil Aouchiche,49048441.0,1088.0,1317.5,1482.0,1328.0,1446.5,1440.0,1558.0,1634.0,1594.0,1927.0
Alexander Sørloth,53063430.0,1102.5,1274.5,1437.0,1249.0,1428.5,1338.5,1535.5,1489.5,1526.5,1839.0
Luca Sangalli,67190076.0,1061.0,1259.0,1423.5,1237.0,1439.0,1296.5,1518.0,1429.5,1448.0,1617.0
Borja Sainz,67277845.0,973.5,1263.0,1427.5,1268.5,1446.5,1350.5,1529.5,1497.0,1499.0,1721.0
Suleimane Rodrigues,2000190096.0,1031.0,1309.5,1543.0,1294.5,1466.5,1339.5,1547.0,1494.5,1503.0,1767.5
Stefan Ranđelović,62247042.0,1077.0,1183.5,1345.5,1146.5,1318.0,1169.5,1400.5,1296.5,1347.0,1448.5
Rubén Garrido,2000515088.0,1102.0,1346.5,1498.0,1343.5,1480.0,1398.5,1563.0,1563.5,1556.5,1815.0
