Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Mauricio Morán,2000192669.0,6.5,13.25,10.5,8.33,4.33,3.83,7.0,12.17
Ángel Luis Arcas,2000571805.0,11.5,13.12,14.25,11.17,11.17,12.0,13.25,13.33
Juan Ángel Muñoz,2000512204.0,13.33,12.38,13.0,9.83,7.5,8.33,13.5,13.75
Ricardo Peralta,2000438819.0,12.67,11.75,11.5,10.83,7.17,8.0,14.5,14.33
Josep,2000513274.0,13.0,15.75,15.0,10.17,8.17,9.0,9.0,12.42
Ramiro Gabarri,2000198124.0,4.17,14.38,15.0,12.17,11.83,13.33,9.5,10.08
Gustavo Zamora,2000512210.0,5.17,13.38,14.0,11.5,11.5,13.83,10.25,10.33
Mamadou Coly,2000440193.0,6.5,13.62,15.5,10.17,8.67,11.67,8.0,10.17
Luis Nsambi,2000631649.0,7.33,12.62,12.75,15.0,11.5,14.83,11.5,11.83
Alberto,2000512206.0,6.0,13.12,13.0,13.5,12.67,14.67,10.5,10.33
Bright Adjei,2000660374.0,6.33,12.5,12.0,14.33,13.33,15.33,8.5,11.83
Guillermo Centurión,78095397.0,5.83,9.62,11.0,9.17,3.83,7.0,8.0,11.0
Kike Barja,67196202.0,7.83,11.38,12.5,13.67,11.67,14.0,7.5,11.83
Ezequiel Aranda,14246685.0,6.33,14.38,15.0,14.83,14.0,14.83,10.5,13.42
Álex Olmedo,2000034591.0,7.33,12.0,14.0,10.67,9.0,13.0,6.5,9.83
Raúl De Tomás,67156425.0,6.5,9.62,10.5,13.33,14.83,12.0,11.5,11.67
Sem Westerveld,37079077.0,3.67,8.25,7.0,6.0,4.0,2.67,8.0,10.83
Fali,67155014.0,13.0,7.88,7.75,11.83,9.0,10.17,13.5,14.5
Chema Nuñez,67232678.0,9.0,10.0,12.0,13.17,11.5,12.83,6.0,10.33
Antonio Sánchez,67272744.0,11.0,11.62,12.25,12.83,11.33,9.33,8.5,12.08
Fran Pérez,95078306.0,7.33,11.5,14.5,12.5,9.83,14.17,11.0,9.67
Diego Moreno,2000024303.0,12.67,12.88,15.5,11.17,9.17,10.33,8.0,12.08
Junior Esparragoza,2000179937.0,14.0,14.0,11.5,10.0,7.17,7.33,11.0,14.08
Francisco Jesús Carbonell,2000440196.0,10.83,12.88,13.0,14.0,10.67,13.67,11.0,13.17
