Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Jan Oblak,64016316.0,10.3,10.3,10.3,10.3,7.75,7.75,9.6,9.6,7.88,7.88
Marc Jurado,2000032704.0,13.4,13.4,13.4,13.4,13.8,13.8,13.65,13.65,13.08,13.08
Nehuén Pérez,14181374.0,12.6,12.6,12.6,12.6,11.8,11.8,11.8,11.8,12.08,12.08
Malang Sarr,48036830.0,13.4,13.4,13.4,13.4,13.6,13.6,12.9,12.9,13.58,13.58
Juan Manuel,2000510085.0,14.2,14.2,14.2,14.2,13.8,13.8,13.7,13.7,12.75,12.75
Simone Panada,43425634.0,14.1,14.1,14.1,14.1,13.4,13.4,13.2,13.2,12.92,12.92
Pierre Dwomoh,2000006277.0,14.9,14.9,14.9,14.9,13.6,13.6,14.5,14.5,13.67,13.67
0,62127037.0,14.9,14.9,14.9,14.9,13.9,13.9,14.8,14.8,14.25,14.25
Nikola Stanković,2000211075.0,18.05,18.05,18.05,18.05,19.55,19.55,17.55,17.55,19.04,19.04
João Félix,83169822.0,15.7,15.7,15.7,15.7,14.3,14.3,15.6,15.6,13.42,13.42
Lorenzo Granelli,2000437491.0,15.2,15.2,15.2,15.2,14.6,14.6,15.6,15.6,14.17,14.17
Matteo Godfroid,18114989.0,12.4,12.4,12.4,12.4,10.5,10.5,11.15,11.15,11.92,11.92
Gonzalo Sánchez,2000416515.0,14.2,14.2,14.2,14.2,14.4,14.4,13.7,13.7,13.58,13.58
Manoel Azambuja,2000410625.0,17.7,17.7,17.7,17.7,16.2,16.2,17.6,17.6,15.33,15.33
Oğuz Civelek,2000232509.0,18.4,18.4,18.4,18.4,19.45,19.45,18.2,18.2,18.46,18.46
Thomas Lemar,85093001.0,14.5,14.5,14.5,14.5,13.9,13.9,14.2,14.2,12.58,12.58
José Giménez,78060464.0,13.45,13.45,13.45,13.45,12.75,12.75,12.85,12.85,12.88,12.88
Marcos Llorente,67196198.0,18.7,18.7,18.7,18.7,16.45,16.45,18.35,18.35,15.46,15.46
Dimo Krastev,22081455.0,15.4,15.4,15.4,15.4,15.6,15.6,15.35,15.35,16.29,16.29
Frank Onyeka,27129125.0,15.65,15.65,15.65,15.65,17.9,17.9,15.8,15.8,16.92,16.92
Lamine Silva,2000438826.0,16.55,16.55,16.55,16.55,17.2,17.2,16.65,16.65,17.38,17.38
0,2000495264.0,12.0,12.0,12.0,12.0,14.1,14.1,12.1,12.1,13.92,13.92
Alexander Villarreal,2000499325.0,18.35,18.35,18.35,18.35,18.9,18.9,17.85,17.85,16.92,16.92
