Player,UID,CD,BPD,NNCB,Lib
Jan Oblak,64016316.0,10.2,10.5,9.8,10.0
Marc Jurado,2000032704.0,11.6,12.7,11.8,13.1
Nehuén Pérez,14181374.0,15.2,14.6,15.5,14.0
Malang Sarr,48036830.0,14.1,14.1,14.0,13.8
Juan Manuel,2000510085.0,11.7,12.3,11.6,13.9
Simone Panada,43425634.0,12.3,13.0,12.1,13.7
Pierre Dwomoh,2000006277.0,11.6,12.4,11.5,12.9
0,62127037.0,14.1,13.9,13.9,14.1
Nikola Stanković,2000211075.0,13.4,13.5,12.95,14.4
João Félix,83169822.0,10.0,10.8,10.2,13.2
Lorenzo Granelli,2000437491.0,11.3,12.2,11.5,12.5
Matteo Godfroid,18114989.0,12.35,13.5,11.75,10.8
Gonzalo Sánchez,2000416515.0,12.7,12.8,11.8,13.3
Manoel Azambuja,2000410625.0,15.5,16.3,15.0,18.2
Oğuz Civelek,2000232509.0,13.6,13.25,13.2,14.45
Thomas Lemar,85093001.0,9.0,9.9,8.6,12.5
José Giménez,78060464.0,14.9,14.2,14.8,14.75
Marcos Llorente,67196198.0,17.4,16.9,17.25,18.75
Dimo Krastev,22081455.0,16.85,17.15,17.7,15.9
Frank Onyeka,27129125.0,16.45,15.7,16.55,16.45
Lamine Silva,2000438826.0,20.25,17.9,20.1,16.55
0,2000495264.0,9.2,9.7,9.1,9.3
Alexander Villarreal,2000499325.0,11.8,11.7,11.35,14.5
