Player,UID,AF,CF,DLF,F9,P,PF,TM
Jan Oblak,64016316.0,7.6,9.2,11.8,9.65,7.6,7.9,9.4
Marc Jurado,2000032704.0,14.35,12.55,13.3,13.3,14.35,13.75,12.65
Nehuén Pérez,14181374.0,13.5,12.0,13.1,12.0,13.5,13.5,12.5
Malang Sarr,48036830.0,13.7,13.1,14.0,13.3,13.7,13.3,13.2
Juan Manuel,2000510085.0,13.3,12.8,14.2,14.1,13.3,13.1,12.0
Simone Panada,43425634.0,13.5,12.9,14.2,13.9,13.5,12.7,12.7
Pierre Dwomoh,2000006277.0,14.2,14.0,14.7,14.8,14.2,12.7,13.5
0,62127037.0,14.0,15.6,15.4,14.9,14.0,14.2,15.9
Nikola Stanković,2000211075.0,21.1,15.35,18.25,18.7,21.1,17.1,16.1
João Félix,83169822.0,15.1,14.9,15.9,16.1,15.1,13.5,13.7
Lorenzo Granelli,2000437491.0,16.4,14.5,15.5,15.1,16.4,14.7,14.7
Matteo Godfroid,18114989.0,12.0,12.45,14.65,11.55,12.0,12.1,14.15
Gonzalo Sánchez,2000416515.0,14.6,13.0,13.6,12.7,14.6,14.6,12.7
Manoel Azambuja,2000410625.0,18.05,16.6,17.2,17.6,18.05,15.6,15.4
Oğuz Civelek,2000232509.0,20.35,16.35,18.8,18.3,20.35,17.35,16.8
Thomas Lemar,85093001.0,13.5,13.2,13.9,14.6,13.5,12.3,11.5
José Giménez,78060464.0,11.95,13.45,13.85,13.75,11.95,12.75,13.25
Marcos Llorente,67196198.0,15.7,17.2,18.35,17.6,15.7,16.8,15.7
Dimo Krastev,22081455.0,18.15,14.5,16.85,15.95,18.15,16.25,16.4
Frank Onyeka,27129125.0,19.9,14.6,16.4,15.5,19.9,18.15,15.3
Lamine Silva,2000438826.0,18.9,14.85,15.65,14.95,18.9,19.3,17.4
0,2000495264.0,13.5,11.6,11.7,12.3,13.5,12.5,12.1
Alexander Villarreal,2000499325.0,17.4,15.65,17.45,18.15,17.4,16.6,15.3
