Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Jan Oblak,64016316.0,792.0,817.0,993.5,761.5,928.0,769.0,962.0,825.0,884.5,976.0
Marc Jurado,2000032704.0,848.0,1106.5,1276.5,1102.5,1242.0,1133.0,1285.0,1291.0,1265.5,1482.0
Nehuén Pérez,14181374.0,981.0,1185.0,1436.0,1130.0,1315.0,1125.0,1319.0,1267.0,1272.0,1464.0
Malang Sarr,48036830.0,954.0,1184.0,1401.0,1149.0,1309.0,1169.0,1348.0,1315.0,1304.0,1524.0
Juan Manuel,2000510085.0,930.0,1148.0,1305.0,1129.0,1289.0,1161.0,1336.0,1299.0,1293.0,1440.0
Simone Panada,43425634.0,875.0,1113.0,1300.0,1093.0,1271.0,1122.0,1317.0,1257.0,1273.0,1441.0
Pierre Dwomoh,2000006277.0,892.0,1105.0,1275.0,1096.0,1240.0,1174.0,1335.0,1317.0,1314.0,1562.0
0,62127037.0,897.0,1120.0,1327.0,1094.0,1286.0,1147.0,1352.0,1267.0,1310.0,1580.0
Nikola Stanković,2000211075.0,1216.5,1496.0,1671.5,1511.5,1622.5,1606.0,1732.5,1838.0,1774.0,2077.0
João Félix,83169822.0,856.0,1055.0,1159.0,1066.0,1210.0,1159.0,1317.0,1293.0,1311.0,1545.0
Lorenzo Granelli,2000437491.0,911.0,1148.0,1296.0,1150.0,1282.0,1207.0,1365.0,1372.0,1370.0,1660.0
Matteo Godfroid,18114989.0,956.5,1106.5,1314.5,1073.5,1192.5,1089.0,1287.5,1225.0,1254.5,1464.5
Gonzalo Sánchez,2000416515.0,983.0,1218.0,1388.0,1196.0,1352.0,1214.0,1411.0,1385.0,1376.0,1554.0
Manoel Azambuja,2000410625.0,1161.0,1413.5,1665.5,1376.0,1625.0,1423.5,1645.0,1586.5,1600.5,1857.0
Oğuz Civelek,2000232509.0,1159.5,1413.0,1571.0,1402.0,1551.0,1470.0,1661.0,1660.0,1649.5,1955.5
Thomas Lemar,85093001.0,804.0,1020.0,1102.0,1039.0,1168.0,1129.0,1276.0,1265.0,1259.0,1412.0
José Giménez,78060464.0,886.0,1094.5,1335.5,1043.0,1247.5,1074.0,1269.5,1172.0,1191.5,1403.0
Marcos Llorente,67196198.0,1152.5,1418.0,1686.5,1363.5,1659.5,1395.5,1699.0,1519.0,1579.0,1764.0
Dimo Krastev,22081455.0,1148.5,1408.5,1760.5,1357.0,1561.0,1383.5,1580.0,1563.5,1553.0,1901.0
Frank Onyeka,27129125.0,1239.0,1478.0,1738.0,1442.5,1611.5,1460.5,1652.5,1675.5,1636.5,1931.0
Lamine Silva,2000438826.0,1311.5,1530.5,1864.5,1454.5,1697.0,1444.5,1698.0,1631.5,1635.5,1902.5
0,2000495264.0,787.0,1002.0,1109.0,1015.0,1096.0,1085.0,1179.0,1239.0,1193.0,1414.0
Alexander Villarreal,2000499325.0,1035.0,1279.5,1394.5,1295.5,1455.5,1377.5,1591.5,1538.5,1546.0,1702.0
