Player,UID,CD,BPD,NNCB,Lib
Diego Aizpurua,2000193388.0,10.85,11.3,10.55,11.25
Asier Grande,2000048078.0,13.7,12.6,12.95,14.7
Unai Núñez,67214595.0,15.6,14.05,15.5,13.35
Josema,2000682315.0,16.05,14.7,14.25,16.8
Oier López,67277836.0,14.85,14.25,14.85,15.85
Unai Vencedor,67260207.0,16.05,15.8,15.15,16.7
Íñigo Herrera,2000510687.0,9.3,9.9,9.3,10.8
Mikel Garai,2000438623.0,14.55,14.7,13.65,15.65
Fran Alonso,2000570282.0,11.7,12.4,11.6,12.7
Carlos Bidaurrázaga,2000573859.0,10.1,10.5,10.1,11.5
Romain Bertrand,2000438620.0,16.05,15.2,14.85,15.5
Yeray,67192475.0,16.0,14.25,15.4,14.6
Oihan Sancet,67260204.0,15.65,15.45,14.9,15.95
Ander Guevara,67246381.0,17.65,16.6,17.5,17.45
Javier Arrue,2000438617.0,8.3,9.4,8.2,9.3
Javier Karanka,2000193733.0,11.35,10.7,9.7,12.5
Aimar Oroz,67276375.0,11.85,12.9,11.25,16.7
Jon Magunazelaia,2000438619.0,12.7,12.3,10.9,15.35
Íñigo Merino,2000442705.0,16.55,14.95,15.8,14.35
Julen Letamendia,2000570277.0,13.6,13.1,13.8,13.6
