Player,UID,DM,AM,BWM,HB,SV,RGA
Diego Aizpurua,2000193388.0,12.05,11.6,11.6,12.35,12.2,12.75
Asier Grande,2000048078.0,15.6,16.15,16.15,15.85,15.05,15.5
Unai Núñez,67214595.0,14.85,14.85,14.85,15.4,14.65,12.75
Josema,2000682315.0,19.15,18.7,18.7,17.8,17.3,17.95
Oier López,67277836.0,17.2,16.6,16.6,16.7,15.75,16.6
Unai Vencedor,67260207.0,17.3,16.9,16.9,16.15,17.9,16.5
Íñigo Herrera,2000510687.0,10.2,10.3,10.3,10.5,11.1,10.9
Mikel Garai,2000438623.0,16.85,16.7,16.7,15.6,16.75,17.6
Fran Alonso,2000570282.0,12.2,12.2,12.2,12.3,12.9,13.6
Carlos Bidaurrázaga,2000573859.0,11.7,11.6,11.6,11.5,12.5,12.1
Romain Bertrand,2000438620.0,16.25,15.8,15.8,15.25,15.7,16.95
Yeray,67192475.0,15.95,16.45,16.45,16.6,16.1,14.25
Oihan Sancet,67260204.0,16.25,15.95,15.95,15.3,16.15,17.2
Ander Guevara,67246381.0,18.6,18.6,18.6,18.3,18.2,16.95
Javier Arrue,2000438617.0,8.3,7.8,7.8,8.3,9.0,11.6
Javier Karanka,2000193733.0,13.3,14.55,14.55,13.9,13.5,14.1
Aimar Oroz,67276375.0,15.6,14.85,14.85,14.1,15.8,19.4
Jon Magunazelaia,2000438619.0,15.0,16.05,16.05,15.0,15.6,17.4
Íñigo Merino,2000442705.0,17.25,17.65,17.65,17.55,14.85,15.3
Julen Letamendia,2000570277.0,14.3,13.9,13.9,14.5,14.0,13.4
