Player,UID,FB,WB,IWB,CWB,NNFB
Diego Aizpurua,2000193388.0,12.05,8.75,12.05,10.42,11.45
Asier Grande,2000048078.0,16.3,14.95,15.1,14.77,14.9
Unai Núñez,67214595.0,14.55,12.05,14.05,11.81,15.5
Josema,2000682315.0,18.8,16.95,18.15,16.69,16.85
Oier López,67277836.0,17.45,15.9,16.0,15.5,16.35
Unai Vencedor,67260207.0,18.4,17.1,17.2,16.69,16.65
Íñigo Herrera,2000510687.0,11.5,12.2,11.0,12.62,10.2
Mikel Garai,2000438623.0,15.9,15.0,15.95,15.31,15.05
Fran Alonso,2000570282.0,13.1,12.35,12.9,12.96,11.9
Carlos Bidaurrázaga,2000573859.0,12.3,13.0,11.7,12.92,11.3
Romain Bertrand,2000438620.0,15.0,13.85,15.0,14.19,14.65
Yeray,67192475.0,16.05,13.4,15.35,13.62,16.2
Oihan Sancet,67260204.0,15.7,13.8,15.55,14.0,14.9
Ander Guevara,67246381.0,18.1,16.25,17.9,16.46,18.5
Javier Arrue,2000438617.0,8.9,10.3,8.8,11.31,7.8
Javier Karanka,2000193733.0,13.85,15.15,13.25,15.81,11.95
Aimar Oroz,67276375.0,14.8,14.95,16.45,16.19,13.75
Jon Magunazelaia,2000438619.0,14.95,14.15,15.35,15.23,13.1
Íñigo Merino,2000442705.0,16.55,13.15,14.95,13.77,16.3
Julen Letamendia,2000570277.0,14.4,13.5,14.0,13.15,14.6
