Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Alfredo Trelles,2000200467.0,11.5,11.666666666666666,1.5,12.5,4.5,9.166666666666666,5.5,14.0,12.5,2.5,10.5,12.875,10.5,9.166666666666666,10.75,12.666666666666666,1.5,6.5,9.5,3.0,1.5
Timo Baumgartl,92065892.0,15.0,11.0,11.0,14.0,11.75,11.0,9.5,14.5,14.0,9.25,14.75,10.5,10.6,13.666666666666666,10.25,14.0,6.0,11.0,11.5,8.0,14.0
Cameron Wells,2000431769.0,7.0,12.333333333333334,7.0,13.0,15.5,11.166666666666666,12.166666666666666,14.0,13.0,12.5,11.75,12.5,11.5,12.666666666666666,15.25,13.666666666666666,9.0,13.5,12.0,9.666666666666666,13.0
Tarsi Bakero,2000193403.0,13.0,14.833333333333334,12.0,13.0,12.5,11.166666666666666,10.833333333333334,15.0,13.0,12.25,13.5,10.625,12.9,13.0,13.375,14.5,8.5,13.0,14.0,9.333333333333334,17.0
Maximilian Mittelstädt,91143714.0,10.0,13.333333333333334,8.0,11.75,13.25,11.833333333333334,13.0,12.75,11.75,12.0,12.0,13.375,12.7,11.166666666666666,12.5,12.5,12.0,13.0,9.5,8.833333333333334,12.0
Luka Jovanović,2000604683.0,7.0,10.333333333333334,8.0,9.0,12.0,11.333333333333334,14.0,9.5,9.0,14.0,10.5,9.25,10.8,8.0,15.0,10.0,9.0,13.5,11.0,8.666666666666666,6.0
Henry Onyekuru,18093594.0,6.0,10.833333333333334,8.0,11.0,13.75,12.333333333333334,11.5,9.25,11.0,12.0,12.25,12.375,11.6,8.0,14.75,10.0,14.5,12.75,11.75,12.5,2.5
Toni Dorado,2000197158.0,8.0,14.0,11.0,13.75,14.5,14.833333333333334,13.0,13.75,13.75,14.5,12.75,12.75,14.3,12.166666666666666,12.0,14.166666666666666,15.0,16.0,13.0,13.333333333333334,7.0
Terry Ashton,2000505936.0,4.0,12.666666666666666,11.0,9.0,14.5,12.333333333333334,14.333333333333334,13.5,9.0,14.5,10.0,14.25,12.8,7.333333333333333,14.5,12.666666666666666,15.0,15.5,11.5,10.666666666666666,9.0
Mateusz Bogusz,96129140.0,7.0,14.0,8.0,13.25,14.0,13.833333333333334,13.0,13.25,13.25,13.5,14.25,14.0,13.9,11.5,13.75,13.5,15.0,14.0,13.5,13.0,10.0
Gerardo Gallardo,2000440602.0,5.0,10.166666666666666,8.0,8.5,14.0,12.166666666666666,12.5,9.0,8.5,14.75,11.0,10.125,10.9,7.666666666666667,15.375,10.166666666666666,13.0,14.5,8.5,10.0,7.0
Tiago Geralnik,14224252.0,13.0,9.333333333333334,9.0,10.5,14.75,12.333333333333334,13.5,12.5,10.5,14.25,8.25,9.0,11.6,9.5,14.0,10.666666666666666,16.0,16.0,10.0,15.333333333333334,7.5
Juan Soriano,67193103.0,15.5,12.666666666666666,5.5,11.0,6.75,12.166666666666666,5.0,12.75,11.0,4.5,13.0,11.25,12.1,8.5,10.25,13.166666666666666,11.0,6.5,12.0,3.5,2.5
Luciano Ferreyra,14227040.0,3.0,13.666666666666666,11.0,12.75,15.0,13.5,14.0,12.5,12.75,15.0,10.5,10.625,13.5,12.666666666666666,15.0,13.0,14.0,15.0,13.0,13.0,12.0
Toni Martínez,67216151.0,14.0,13.5,12.0,10.25,13.25,12.333333333333334,11.166666666666666,12.25,10.25,11.5,13.75,12.625,12.8,9.5,12.625,12.666666666666666,13.5,12.0,13.5,11.666666666666666,9.0
Checa,2000438637.0,13.0,12.666666666666666,7.0,9.75,16.5,12.0,13.0,13.0,9.75,13.5,10.5,11.5,12.6,9.333333333333334,12.75,12.333333333333334,11.0,16.5,12.5,10.0,8.0
Mamadou Loum,83100794.0,15.0,14.5,11.0,13.75,10.75,11.0,9.0,13.75,13.75,10.0,14.75,12.375,12.4,13.166666666666666,11.0,14.0,11.5,11.25,13.0,8.0,12.0
Adrián Corral,2000057468.0,14.0,12.166666666666666,15.0,13.0,9.5,11.166666666666666,7.5,13.5,13.0,8.25,12.5,9.375,11.5,13.666666666666666,13.625,13.166666666666666,9.5,8.5,11.5,6.0,15.0
Cacá,19350725.0,12.0,14.166666666666666,14.0,13.25,12.0,12.0,9.833333333333334,13.25,13.25,10.5,13.25,13.25,12.6,13.166666666666666,11.75,14.0,9.5,11.0,11.25,8.666666666666666,15.0
Yesinguer Vinasco,2000415655.0,14.0,12.5,10.0,10.0,14.75,13.0,13.166666666666666,13.75,10.0,13.5,11.75,10.625,13.4,8.0,14.75,12.333333333333334,16.5,14.75,14.75,13.5,5.0
Juanmi Ávila,2000441358.0,12.0,14.0,12.0,10.0,13.5,12.5,10.0,16.25,10.0,12.0,11.0,9.5,13.3,8.166666666666666,11.875,15.166666666666666,15.0,10.5,13.25,12.5,4.5
Ion Etxabe,2000514435.0,4.0,9.5,9.0,10.0,14.25,13.333333333333334,9.5,9.75,10.0,12.0,10.75,12.125,11.2,7.5,13.5,10.666666666666666,13.5,11.25,8.25,10.166666666666666,3.0
Nico Mickelson,53138009.0,11.0,12.666666666666666,6.0,9.0,14.25,11.5,12.166666666666666,12.5,9.0,13.75,10.5,8.875,12.1,9.0,14.25,12.333333333333334,11.0,12.25,9.5,9.333333333333334,8.0
Jose Antonio Molina,2000571459.0,13.5,13.0,6.0,9.25,11.25,15.833333333333334,10.333333333333334,13.5,9.25,14.0,10.5,10.625,14.5,8.0,14.75,13.666666666666666,18.0,13.0,11.25,10.333333333333334,4.0
Juan Luis,2000664823.0,13.0,12.166666666666666,10.0,13.75,10.0,10.0,9.666666666666666,16.5,13.75,7.75,10.5,14.0,11.2,12.5,11.75,14.5,3.5,11.0,12.75,8.833333333333334,15.0
