Player,UID,AMC,AP,T,SS,AM,EG
Alfredo Trelles,2000200467.0,11.0,10.2,11.0,7.6,9.1,7.9
Timo Baumgartl,92065892.0,16.6,15.1,16.6,15.1,15.2,13.4
Cameron Wells,2000431769.0,16.6,16.0,16.6,15.05,15.35,15.85
Tarsi Bakero,2000193403.0,18.15,16.95,18.15,15.55,16.9,15.95
Maximilian Mittelstädt,91143714.0,18.6,18.75,18.6,16.6,18.1,18.0
Luka Jovanović,2000604683.0,10.5,10.9,10.5,10.7,11.3,11.7
Henry Onyekuru,18093594.0,16.1,16.85,16.1,17.15,16.9,17.85
Toni Dorado,2000197158.0,17.55,18.3,17.55,17.5,18.6,18.25
Terry Ashton,2000505936.0,13.4,14.2,13.4,13.5,13.6,14.0
Mateusz Bogusz,96129140.0,17.55,17.85,17.55,16.75,17.85,18.1
Gerardo Gallardo,2000440602.0,14.4,15.0,14.4,14.8,15.55,15.8
Tiago Geralnik,14224252.0,17.7,19.05,17.7,18.75,18.55,18.7
Juan Soriano,67193103.0,15.0,14.4,15.0,12.05,13.3,12.75
Luciano Ferreyra,14227040.0,16.3,17.2,16.3,16.5,17.45,18.1
Toni Martínez,67216151.0,16.7,16.7,16.7,16.15,16.3,16.55
Checa,2000438637.0,15.05,14.7,15.05,14.2,15.2,13.7
Mamadou Loum,83100794.0,16.2,14.75,16.2,14.55,15.35,13.85
Adrián Corral,2000057468.0,16.05,14.85,16.05,13.9,15.25,13.7
Cacá,19350725.0,17.25,16.65,17.25,16.4,17.0,15.45
Yesinguer Vinasco,2000415655.0,19.05,19.8,19.05,17.7,18.65,20.05
Juanmi Ávila,2000441358.0,18.15,18.45,18.15,18.4,17.8,17.55
Ion Etxabe,2000514435.0,14.7,16.05,14.7,16.8,16.1,16.3
Nico Mickelson,53138009.0,17.0,17.0,17.0,16.0,16.8,16.75
Jose Antonio Molina,2000571459.0,18.9,19.95,18.9,19.55,20.35,20.65
Juan Luis,2000664823.0,14.75,14.1,14.75,13.4,13.3,11.85
