Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Alfredo Trelles,2000200467.0,9.1,9.1,9.1,9.1,8.95,8.95,7.6,7.6,9.0,9.0
Timo Baumgartl,92065892.0,15.2,15.2,15.2,15.2,13.5,13.5,15.1,15.1,13.42,13.42
Cameron Wells,2000431769.0,15.35,15.35,15.35,15.35,16.25,16.25,15.05,15.05,14.71,14.71
Tarsi Bakero,2000193403.0,16.9,16.9,16.9,16.9,15.65,15.65,15.55,15.55,15.12,15.12
Maximilian Mittelstädt,91143714.0,18.1,18.1,18.1,18.1,18.15,18.15,16.6,16.6,16.62,16.62
Luka Jovanović,2000604683.0,11.3,11.3,11.3,11.3,12.2,12.2,10.7,10.7,11.42,11.42
Henry Onyekuru,18093594.0,16.9,16.9,16.9,16.9,16.2,16.2,17.15,17.15,14.67,14.67
Toni Dorado,2000197158.0,18.6,18.6,18.6,18.6,16.3,16.3,17.5,17.5,15.17,15.17
Terry Ashton,2000505936.0,13.6,13.6,13.6,13.6,14.4,14.4,13.5,13.5,13.25,13.25
Mateusz Bogusz,96129140.0,17.85,17.85,17.85,17.85,17.9,17.9,16.75,16.75,16.17,16.17
Gerardo Gallardo,2000440602.0,15.55,15.55,15.55,15.55,16.0,16.0,14.8,14.8,14.42,14.42
Tiago Geralnik,14224252.0,18.55,18.55,18.55,18.55,16.35,16.35,18.75,18.75,15.46,15.46
Juan Soriano,67193103.0,13.3,13.3,13.3,13.3,12.65,12.65,12.05,12.05,13.04,13.04
Luciano Ferreyra,14227040.0,17.45,17.45,17.45,17.45,18.0,18.0,16.5,16.5,16.17,16.17
Toni Martínez,67216151.0,16.3,16.3,16.3,16.3,15.7,15.7,16.15,16.15,15.25,15.25
Checa,2000438637.0,15.2,15.2,15.2,15.2,11.6,11.6,14.2,14.2,11.33,11.33
Mamadou Loum,83100794.0,15.35,15.35,15.35,15.35,14.65,14.65,14.55,14.55,15.29,15.29
Adrián Corral,2000057468.0,15.25,15.25,15.25,15.25,14.1,14.1,13.9,13.9,14.17,14.17
Cacá,19350725.0,17.0,17.0,17.0,17.0,15.35,15.35,16.4,16.4,14.96,14.96
Yesinguer Vinasco,2000415655.0,18.65,18.65,18.65,18.65,18.2,18.2,17.7,17.7,17.17,17.17
Juanmi Ávila,2000441358.0,17.8,17.8,17.8,17.8,17.65,17.65,18.4,18.4,16.71,16.71
Ion Etxabe,2000514435.0,16.1,16.1,16.1,16.1,15.3,15.3,16.8,16.8,13.83,13.83
Nico Mickelson,53138009.0,16.8,16.8,16.8,16.8,17.55,17.55,16.0,16.0,16.04,16.04
Jose Antonio Molina,2000571459.0,20.35,20.35,20.35,20.35,19.1,19.1,19.55,19.55,18.0,18.0
Juan Luis,2000664823.0,13.3,13.3,13.3,13.3,12.95,12.95,13.4,13.4,13.42,13.42
