Player,UID,AF,CF,DLF,F9,P,PF,TM
Alfredo Trelles,2000200467.0,8.55,7.55,9.3,7.95,8.55,11.35,8.5
Timo Baumgartl,92065892.0,14.0,13.8,15.9,13.9,14.0,14.6,14.15
Cameron Wells,2000431769.0,16.65,12.95,14.95,14.85,16.65,15.4,12.85
Tarsi Bakero,2000193403.0,15.7,14.85,16.6,15.75,15.7,16.0,14.55
Maximilian Mittelstädt,91143714.0,16.2,15.75,17.05,17.3,16.2,16.8,14.25
Luka Jovanović,2000604683.0,12.4,9.9,11.3,12.1,12.4,10.3,9.6
Henry Onyekuru,18093594.0,18.3,16.15,17.3,17.1,18.3,15.65,14.65
Toni Dorado,2000197158.0,17.0,16.05,18.3,17.6,17.0,15.7,14.6
Terry Ashton,2000505936.0,13.5,13.0,12.9,13.0,13.5,14.0,12.0
Mateusz Bogusz,96129140.0,17.85,15.0,17.7,17.6,17.85,16.55,14.25
Gerardo Gallardo,2000440602.0,16.65,12.6,14.0,14.7,16.65,13.9,10.9
Tiago Geralnik,14224252.0,17.3,16.3,17.55,17.85,17.3,14.55,14.65
Juan Soriano,67193103.0,13.45,12.2,14.65,11.8,13.45,14.05,14.2
Luciano Ferreyra,14227040.0,17.8,14.95,16.9,18.05,17.8,15.2,14.2
Toni Martínez,67216151.0,17.0,15.95,17.45,16.8,17.0,16.15,16.5
Checa,2000438637.0,12.35,13.2,15.55,14.3,12.35,12.1,12.1
Mamadou Loum,83100794.0,15.75,14.1,15.7,14.2,15.75,16.2,15.8
Adrián Corral,2000057468.0,15.2,12.75,14.65,13.8,15.2,14.3,13.0
Cacá,19350725.0,16.35,16.95,17.2,15.7,16.35,17.85,16.25
Yesinguer Vinasco,2000415655.0,17.6,16.55,19.3,19.15,17.6,15.35,16.15
Juanmi Ávila,2000441358.0,17.65,16.6,17.2,17.0,17.65,17.2,17.25
Ion Etxabe,2000514435.0,17.4,14.55,15.45,15.1,17.4,15.2,13.0
Nico Mickelson,53138009.0,16.7,13.35,14.65,16.1,16.7,15.05,12.75
Jose Antonio Molina,2000571459.0,19.95,16.55,18.9,19.4,19.95,17.0,16.1
Juan Luis,2000664823.0,13.6,13.25,15.1,13.0,13.6,15.45,15.05
