Player,UID,DM,AM,BWM,HB,SV,RGA
Gregor Kobel,98040383.0,12.8,13.0,13.0,13.5,13.05,12.8
César Ramírez,2000194011.0,16.3,16.95,16.95,16.2,14.95,14.55
Dušan Stojinović,62218369.0,14.0,14.4,14.4,14.15,14.1,13.4
Guillem Molina,67260507.0,14.4,14.2,14.2,14.3,13.15,13.8
Toni Herrero,67277687.0,13.2,13.1,13.1,13.1,13.3,12.8
Rami Hajal,93099931.0,13.95,13.05,13.05,13.55,13.0,15.75
Óscar Melendo,67214687.0,14.8,14.65,14.65,14.95,14.75,17.2
Francisco Conceição,83261140.0,12.9,12.2,12.2,14.85,14.45,18.35
David,2000441683.0,13.35,13.15,13.15,12.85,14.25,17.4
Matías Vargas,14141967.0,13.85,13.95,13.95,14.95,14.55,16.35
0,29236380.0,11.95,11.85,11.85,11.7,11.75,11.45
Lucas Forsberg,93141098.0,15.75,15.7,15.7,15.7,15.9,15.55
Cezary Miszta,96122113.0,15.4,14.95,14.95,15.85,16.1,16.1
Tymoteusz Puchacz,96086694.0,14.6,14.5,14.5,16.05,14.0,14.5
Oier Zarraga,67260201.0,16.55,16.9,16.9,17.5,15.8,14.85
Jorge De Frutos,67231100.0,13.9,14.1,14.1,14.8,14.3,16.25
Chumi,95036003.0,14.4,14.7,14.7,15.15,14.25,12.65
Brais Méndez,67199158.0,15.0,14.7,14.7,14.15,14.8,17.6
Miguel Menino,83320117.0,15.25,15.2,15.2,15.35,15.2,15.3
Carlos,2000202592.0,17.0,16.15,16.15,16.2,16.5,15.5
Noé Blasco,2000440885.0,10.1,10.5,10.5,10.1,10.3,12.5
Josep,2000513274.0,15.15,15.4,15.4,16.0,13.55,13.25
Isak Amundsen,53178292.0,15.4,16.0,16.0,15.9,14.75,12.9
José Luis Ruano,2000572819.0,13.9,13.45,13.45,14.1,14.35,16.3
