Player,UID,FB,WB,IWB,CWB,NNFB
Arnau Tenas,67265794.0,9.1,6.65,9.75,7.92,9.8
Ismael Casas,67271373.0,13.7,13.35,12.85,13.12,13.1
Lovre Vujčić,2000188309.0,13.5,12.0,12.6,11.69,13.5
Ulises Campus,2000273292.0,14.25,11.95,13.05,11.73,13.7
Jorge Cuenca,67248170.0,13.2,11.45,12.95,11.73,13.3
Antonio Raúl Escuín,2000440594.0,13.2,11.75,12.25,11.5,13.5
Serafín,2000512562.0,11.7,12.6,11.5,13.15,10.45
Iván Martínez,2000510865.0,13.4,11.95,12.3,12.0,13.7
Félix,2000192673.0,11.55,11.55,12.2,12.12,10.7
Luis Suárez,76046285.0,11.7,11.85,11.2,12.04,11.9
Jose Luis,2000438355.0,12.65,12.2,12.25,12.92,11.65
Cristian Manea,57120897.0,13.15,12.5,12.5,12.31,13.05
Cristian Rivero,67246343.0,9.0,6.3,8.4,6.65,7.9
Olmo,2000512864.0,13.0,11.7,12.25,11.81,12.6
Antonio Javier García,2000571328.0,11.8,12.05,11.0,12.27,10.65
Eugenio Caínzos,2000630560.0,9.9,9.9,10.8,11.58,9.1
Saúl Salcedo,79026928.0,13.0,11.45,12.55,11.19,13.6
Domingo Funcasta,2000510087.0,11.15,11.35,9.6,11.23,8.9
Moussa Djenepo,6601602.0,9.8,10.55,9.2,11.08,9.15
Jesse Lingard,28047560.0,11.25,10.55,11.05,11.19,10.45
Denis Vavro,63025710.0,14.05,11.75,12.65,11.0,14.15
Alberto Quintana,67280840.0,12.75,11.75,12.55,12.04,11.7
Edimilson Fernandes,98030084.0,11.6,11.5,12.2,12.0,11.25
José María Garai,2000437777.0,10.5,10.15,11.35,11.27,10.15
Can Balcı,2000566216.0,12.75,10.7,12.3,10.42,12.7
0,2000606148.0,8.8,9.55,7.3,10.04,6.7
Migue Ortiz,2000630559.0,11.1,10.8,11.7,11.69,10.3
