Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Koke Vegas,67196252.0,14.0,11.833333333333334,9.0,12.75,9.0,9.333333333333334,6.666666666666667,11.75,12.75,5.5,13.25,12.125,10.0,9.166666666666666,10.0,12.333333333333334,2.0,9.0,11.25,3.3333333333333335,3.0
Jose Alcaide,2000437774.0,11.0,14.666666666666666,10.0,12.75,9.75,11.833333333333334,9.0,14.25,12.75,9.5,13.0,15.125,12.9,12.833333333333334,13.25,14.5,11.0,10.0,12.0,7.166666666666667,13.0
Eugene Kulakov,2000434056.0,17.0,12.0,10.0,12.0,11.5,10.0,9.0,11.5,12.0,8.5,13.0,11.0,10.4,12.333333333333334,13.0,12.333333333333334,9.0,10.5,14.0,7.0,16.0
Jordan Torunarigha,91137260.0,16.0,12.0,14.0,13.5,12.0,11.333333333333334,12.0,10.5,13.5,12.0,11.5,14.75,11.6,13.333333333333334,13.25,11.0,11.0,13.0,12.5,10.0,15.0
Imanol,67276239.0,10.0,10.833333333333334,11.0,10.75,12.5,12.333333333333334,11.333333333333334,14.0,10.75,11.25,10.5,14.375,11.4,12.166666666666666,13.25,13.5,8.5,12.5,11.25,10.166666666666666,13.0
José,2000570829.0,7.0,13.833333333333334,8.0,11.0,17.0,15.666666666666666,12.5,13.5,11.0,15.0,11.5,11.375,14.8,10.333333333333334,13.625,13.833333333333334,12.0,16.5,11.0,12.0,6.5
Leo Díaz,2000630127.0,5.0,13.0,7.0,9.5,16.5,12.666666666666666,13.333333333333334,13.0,9.5,16.5,12.0,8.75,13.0,10.333333333333334,17.0,12.666666666666666,15.0,15.5,11.5,11.666666666666666,5.0
Beñat Sanz,2000439251.0,7.0,14.333333333333334,12.0,11.5,14.5,14.0,12.666666666666666,12.5,11.5,13.0,13.0,10.25,14.2,9.0,12.25,13.0,13.0,16.5,12.5,11.333333333333334,5.0
0,2000189953.0,14.0,11.166666666666666,9.0,12.0,13.75,11.333333333333334,12.833333333333334,10.75,12.0,14.5,11.25,10.875,11.4,10.0,14.5,10.666666666666666,12.5,13.75,11.75,13.166666666666666,7.0
Carlos Hernandez,2000511264.0,8.0,14.666666666666666,9.0,11.5,13.5,13.333333333333334,13.666666666666666,15.5,11.5,14.5,12.0,12.75,14.0,9.5,15.75,15.0,17.0,13.5,11.5,12.333333333333334,4.0
Anders Nygaard,2000569028.0,13.0,14.666666666666666,9.0,11.5,14.5,12.666666666666666,12.666666666666666,14.0,11.5,11.0,14.0,11.5,13.8,9.333333333333334,13.25,13.666666666666666,17.0,13.5,14.0,12.666666666666666,6.0
Clement Nwabueze,2000710897.0,9.0,12.666666666666666,16.0,13.0,11.5,10.333333333333334,11.666666666666666,16.0,13.0,11.5,12.5,11.75,11.8,13.333333333333334,14.25,14.0,10.0,12.5,13.5,9.333333333333334,13.0
Fajar Bayhaqi,2000439532.0,11.0,14.666666666666666,9.0,12.0,13.0,13.0,10.0,15.5,12.0,12.0,12.0,12.5,13.6,12.333333333333334,10.75,15.333333333333334,9.0,13.0,11.0,11.0,9.0
Gil Dias,55082920.0,11.0,11.666666666666666,9.0,10.75,13.0,10.833333333333334,14.0,10.25,10.75,13.5,10.25,12.0,11.1,8.666666666666666,12.625,10.833333333333334,14.0,13.75,11.25,10.833333333333334,9.5
Marian Vasilache,2000328740.0,12.0,11.333333333333334,17.0,9.5,12.5,12.666666666666666,8.0,13.0,9.5,12.5,10.75,11.0,11.8,8.166666666666666,13.25,13.0,11.0,9.5,16.5,11.333333333333334,5.0
Paul Akouokou,33066648.0,15.5,12.833333333333334,12.0,12.0,12.5,12.833333333333334,10.0,13.5,12.0,9.75,13.0,12.75,12.7,12.5,12.5,13.5,8.5,11.5,13.25,9.5,15.0
Isaiah Álvarez,2000630129.0,12.0,9.166666666666666,7.0,10.25,13.0,12.166666666666666,15.0,12.5,10.25,13.75,10.5,13.125,10.9,8.833333333333334,13.25,11.5,13.5,15.5,11.25,13.5,10.0
