Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Aarón Escandell,67192427.0,7.25,7.25,7.25,7.25,6.15,6.15,6.4,6.4,6.54,6.54
Javi Izquierdo,67288498.0,8.35,8.35,8.35,8.35,6.35,6.35,7.4,7.4,6.92,6.92
Víctor Gómez,67257950.0,12.0,12.0,12.0,12.0,12.9,12.9,11.2,11.2,11.75,11.75
Rasmus Lauritsen,27069979.0,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,11.25,11.25
Patric,67100019.0,12.55,12.55,12.55,12.55,10.8,10.8,11.45,11.45,10.92,10.92
Lluís Recasens,67295940.0,9.9,9.9,9.9,9.9,9.5,9.5,9.5,9.5,9.83,9.83
Dominik Kruzliak,63026929.0,10.0,10.0,10.0,10.0,9.05,9.05,10.75,10.75,9.71,9.71
Braian Cufré,14131295.0,13.2,13.2,13.2,13.2,12.6,12.6,12.3,12.3,11.67,11.67
Sergi Rosanas,67265793.0,11.5,11.5,11.5,11.5,12.1,12.1,11.1,11.1,11.33,11.33
Pep Chavarría,67277695.0,11.3,11.3,11.3,11.3,11.8,11.8,10.2,10.2,11.33,11.33
Ryan Johansson,90086790.0,12.4,12.4,12.4,12.4,11.7,11.7,11.8,11.8,11.33,11.33
Sebastián Cabrera,75036622.0,12.6,12.6,12.6,12.6,12.45,12.45,12.35,12.35,11.96,11.96
Gabriel Torres,2000438016.0,9.4,9.4,9.4,9.4,10.8,10.8,9.1,9.1,11.25,11.25
John McGinn,61043070.0,14.35,14.35,14.35,14.35,13.15,13.15,14.1,14.1,12.25,12.25
Rodrigo Zalazar,67271371.0,12.35,12.35,12.35,12.35,11.75,11.75,12.3,12.3,11.33,11.33
Ifeanyi Mathew,53141633.0,14.0,14.0,14.0,14.0,12.6,12.6,13.7,13.7,11.83,11.83
Amarildo Gojani,2000505067.0,14.0,14.0,14.0,14.0,13.1,13.1,13.7,13.7,12.42,12.42
Michel Vlap,215665.0,12.35,12.35,12.35,12.35,11.55,11.55,12.2,12.2,11.71,11.71
Che Nunnely,37055838.0,11.8,11.8,11.8,11.8,12.65,12.65,12.05,12.05,11.79,11.79
Àlex Collado,67246435.0,12.85,12.85,12.85,12.85,12.45,12.45,12.25,12.25,11.54,11.54
Óscar Clemente,67259874.0,13.55,13.55,13.55,13.55,12.25,12.25,13.4,13.4,11.62,11.62
Nils Mortimer,67265795.0,12.1,12.1,12.1,12.1,12.15,12.15,12.2,12.2,11.88,11.88
Miguel,2000192899.0,13.4,13.4,13.4,13.4,13.95,13.95,12.55,12.55,13.04,13.04
Gonzalo Maroni,14137723.0,12.6,12.6,12.6,12.6,12.0,12.0,12.2,12.2,11.0,11.0
Olaus Skarsem,89051875.0,11.7,11.7,11.7,11.7,11.35,11.35,11.3,11.3,10.12,10.12
Freddy Vargas,86061304.0,12.75,12.75,12.75,12.75,12.95,12.95,12.5,12.5,12.29,12.29
Gianluca Bellucci,2000508898.0,12.9,12.9,12.9,12.9,12.0,12.0,12.8,12.8,11.42,11.42
Javier Pascua,2000573866.0,11.85,11.85,11.85,11.85,11.5,11.5,12.25,12.25,10.75,10.75
Cheick Ibra Koné,2000631747.0,12.0,12.0,12.0,12.0,11.7,11.7,11.6,11.6,10.83,10.83
Ángel Cabello,2000438822.0,13.6,13.6,13.6,13.6,13.5,13.5,13.4,13.4,13.33,13.33
Fran López,67279609.0,13.4,13.4,13.4,13.4,11.55,11.55,13.95,13.95,11.29,11.29
Álvaro Santamaría,67298126.0,11.5,11.5,11.5,11.5,12.35,12.35,11.65,11.65,12.62,12.62
