Player,UID,DM,AM,BWM,HB,SV,RGA
Aarón Escandell,67192427.0,13.7,13.75,13.75,15.05,12.35,11.3
Javi Izquierdo,67288498.0,13.95,13.85,13.85,14.95,13.6,14.1
Víctor Gómez,67257950.0,16.25,16.35,16.35,15.95,15.05,16.6
Rasmus Lauritsen,27069979.0,17.85,18.25,18.25,18.7,16.35,15.3
Patric,67100019.0,17.05,18.0,18.0,19.45,17.45,18.85
Lluís Recasens,67295940.0,17.2,16.15,16.15,14.85,16.55,14.6
Dominik Kruzliak,63026929.0,17.8,17.8,17.8,18.65,16.2,13.65
Braian Cufré,14131295.0,16.7,16.95,16.95,17.25,16.4,18.4
Sergi Rosanas,67265793.0,15.25,15.35,15.35,16.6,15.55,15.95
Pep Chavarría,67277695.0,15.95,16.35,16.35,16.2,17.05,15.85
Ryan Johansson,90086790.0,16.3,16.7,16.7,16.7,16.75,16.75
Sebastián Cabrera,75036622.0,17.15,16.85,16.85,17.5,16.75,17.35
Gabriel Torres,2000438016.0,13.1,13.5,13.5,14.1,12.1,10.1
John McGinn,61043070.0,17.7,17.55,17.55,18.0,17.1,17.5
Rodrigo Zalazar,67271371.0,16.25,16.1,16.1,16.55,15.85,15.25
Ifeanyi Mathew,53141633.0,16.8,16.65,16.65,16.7,16.75,17.05
Amarildo Gojani,2000505067.0,9.4,9.1,9.1,8.7,10.3,13.4
Michel Vlap,215665.0,13.45,13.8,13.8,15.1,14.4,16.95
Che Nunnely,37055838.0,12.05,11.6,11.6,13.15,12.65,15.2
Àlex Collado,67246435.0,12.85,12.5,12.5,12.4,13.2,17.9
Óscar Clemente,67259874.0,16.4,15.85,15.85,15.8,17.4,18.3
Nils Mortimer,67265795.0,11.1,10.4,10.4,11.55,12.6,16.5
Miguel,2000192899.0,13.55,14.1,14.1,14.0,12.8,15.05
Gonzalo Maroni,14137723.0,11.85,11.9,11.9,12.65,12.35,13.75
Olaus Skarsem,89051875.0,11.15,11.35,11.35,11.15,13.45,16.45
Freddy Vargas,86061304.0,14.95,14.85,14.85,15.85,15.15,17.55
Gianluca Bellucci,2000508898.0,10.9,10.7,10.7,10.7,11.2,11.8
Javier Pascua,2000573866.0,10.9,10.4,10.4,10.7,11.75,15.2
Cheick Ibra Koné,2000631747.0,12.25,12.0,12.0,11.45,11.9,14.35
Ángel Cabello,2000438822.0,15.0,15.5,15.5,14.0,14.65,15.2
Fran López,67279609.0,14.25,12.9,12.9,13.25,14.5,17.2
Álvaro Santamaría,67298126.0,14.15,14.5,14.5,14.6,13.85,15.05
