Player,UID,Position
Aarón Escandell,67192427,GK
Javi Izquierdo,67288498,GK
Víctor Gómez,67257950,D/WB/AM (R)
Rasmus Lauritsen,27069979,"D (RC), DM"
Patric,67100019,"D (RC), WB (R), DM"
Lluís Recasens,67295940,"D (C), DM, M (C)"
Dominik Kruzliak,63026929,"D (C), DM"
Braian Cufré,14131295,"D/WB (L), DM"
Sergi Rosanas,67265793,"D (RL), WB (R)"
Pep Chavarría,67277695,D/WB/M (L)
Ryan Johansson,90086790,"D (RL), WB (R), DM, M (C)"
Sebastián Cabrera,75036622,D/WB (L)
Gabriel Torres,2000438016,"D (LC), DM"
John McGinn,61043070,"DM, M/AM (C)"
Rodrigo Zalazar,67271371,"DM, M/AM (C)"
Ifeanyi Mathew,53141633,"DM, M (RC), AM (C)"
Amarildo Gojani,2000505067,M/AM (C)
Michel Vlap,215665,"M (C), AM (LC), ST (C)"
Che Nunnely,37055838,M/AM (RL)
Àlex Collado,67246435,M/AM (RLC)
Óscar Clemente,67259874,"M (C), AM (LC)"
Nils Mortimer,67265795,"M (R), AM (RLC), ST (C)"
Miguel,2000192899,"M (RLC), AM (RC)"
Gonzalo Maroni,14137723,"M (C), AM (RLC), ST (C)"
Olaus Skarsem,89051875,"M (RC), AM (RLC), ST (C)"
Freddy Vargas,86061304,M/AM (RL)
Gianluca Bellucci,2000508898,"M (LC), AM (RC)"
Javier Pascua,2000573866,"M (L), AM (LC), ST (C)"
Cheick Ibra Koné,2000631747,"M (RL), AM (R), ST (C)"
Ángel Cabello,2000438822,"AM (RC), ST (C)"
Fran López,67279609,ST (C)
Álvaro Santamaría,67298126,ST (C)
