Player,UID,Shot Stopping,Physical,Speed,Mental,Communication,Eccentricity,Aerial,Distribution
Javi Izquierdo,67288498.0,15.5,11.88,9.25,12.25,14.0,7.0,12.5,11.0
Víctor Gómez,67257950.0,1.25,12.12,14.5,11.0,3.0,2.0,2.25,2.25
Rasmus Lauritsen,27069979.0,2.0,13.12,12.75,14.75,2.5,2.0,3.0,3.0
Gabriel Torres,2000438016.0,2.5,13.25,12.0,13.33,3.0,2.0,2.5,2.0
Braian Cufré,14131295.0,1.75,11.88,13.5,13.5,2.0,4.0,1.75,3.0
Ifeanyi Mathew,53141633.0,3.0,12.5,11.0,12.83,2.5,2.0,2.0,3.0
Ryan Johansson,90086790.0,2.25,12.62,12.0,12.17,2.75,1.5,4.0,2.25
Che Nunnely,37055838.0,2.25,12.5,16.5,11.17,2.5,2.0,2.0,2.5
Àlex Collado,67246435.0,2.5,11.88,13.0,12.17,3.25,2.0,2.5,3.25
Freddy Vargas,86061304.0,3.25,13.25,13.0,12.58,1.75,3.5,2.5,2.5
Ángel Cabello,2000438822.0,2.5,14.62,13.0,12.17,1.5,1.5,2.0,1.75
Olaus Skarsem,89051875.0,2.5,9.5,13.0,10.92,2.5,2.5,2.25,2.25
Aarón Escandell,67192427.0,14.75,9.75,7.5,11.5,13.75,6.0,14.5,13.0
Javier Pascua,2000573866.0,3.0,12.75,14.5,10.58,2.75,2.5,3.0,2.0
Álvaro Santamaría,67298126.0,2.5,13.5,13.5,11.33,3.0,2.5,2.25,1.75
Óscar Clemente,67259874.0,3.5,11.12,13.5,13.0,2.0,1.5,2.5,2.25
Rodrigo Zalazar,67271371.0,4.5,12.25,11.5,11.17,2.5,3.5,2.25,1.5
Nils Mortimer,67265795.0,1.75,12.5,14.5,11.08,1.75,2.5,3.0,2.75
Michel Vlap,215665.0,3.0,9.88,10.5,12.67,3.0,2.0,2.25,2.25
John McGinn,61043070.0,3.25,12.5,11.5,13.17,3.5,4.5,1.75,1.25
Patric,67100019.0,2.75,8.88,7.25,15.5,3.0,2.0,2.5,3.5
Sergi Rosanas,67265793.0,1.75,12.38,14.5,12.58,3.5,1.0,4.0,3.0
Pep Chavarría,67277695.0,0.0,12.0,15.0,10.67,0.0,0.0,0.0,0.0
Fran López,67279609.0,3.25,11.62,13.0,11.92,3.25,1.5,1.75,2.0
Lluís Recasens,67295940.0,2.5,11.0,11.5,10.67,2.0,5.0,2.0,2.0
Miguel,2000192899.0,2.5,14.38,15.75,11.67,2.0,3.5,3.0,2.5
Gonzalo Maroni,14137723.0,1.5,11.12,12.0,10.5,3.0,3.0,2.25,1.75
Dominik Kruzliak,63026929.0,3.25,9.62,7.5,14.25,3.25,2.5,1.75,1.75
Sebastián Cabrera,75036622.0,3.25,12.88,13.5,14.08,2.75,1.5,2.0,2.75
Amarildo Gojani,2000505067.0,3.0,14.25,13.5,11.33,2.5,3.0,2.0,1.0
Gianluca Bellucci,2000508898.0,1.0,13.0,12.5,11.67,2.0,3.0,1.0,1.0
Cheick Ibra Koné,2000631747.0,1.75,9.38,13.75,9.42,2.5,2.5,3.25,2.5
