Player,UID,Position
Javi Izquierdo,67288498,GK
Víctor Gómez,67257950,D/WB/AM (R)
Rasmus Lauritsen,27069979,"D (RC), DM"
Gabriel Torres,2000438016,"D (LC), DM"
Braian Cufré,14131295,"D/WB (L), DM, M (C)"
Ifeanyi Mathew,53141633,"DM, M/AM (RC)"
Ryan Johansson,90086790,"D (RL), WB (R), DM, M (C)"
Che Nunnely,37055838,M/AM (RL)
Àlex Collado,67246435,M/AM (RLC)
Freddy Vargas,86061304,"M (RL), AM (RLC)"
Ángel Cabello,2000438822,"AM (RC), ST (C)"
Olaus Skarsem,89051875,"M (RC), AM (RLC), ST (C)"
Aarón Escandell,67192427,GK
Javier Pascua,2000573866,"M (L), AM (LC), ST (C)"
Álvaro Santamaría,67298126,ST (C)
Óscar Clemente,67259874,"M (C), AM (LC)"
Rodrigo Zalazar,67271371,"DM, M/AM (C)"
Nils Mortimer,67265795,"M (R), AM (RLC), ST (C)"
Michel Vlap,215665,"M (C), AM (LC), ST (C)"
John McGinn,61043070,"DM, M/AM (C)"
Patric,67100019,"D (RC), WB (R), DM"
Sergi Rosanas,67265793,"D (RL), WB (R)"
Pep Chavarría,67277695,D/WB/M (L)
Fran López,67279609,ST (C)
Lluís Recasens,67295940,"D (C), DM, M (C)"
Miguel,2000192899,"M (RLC), AM (RC)"
Gonzalo Maroni,14137723,"M (C), AM (RLC), ST (C)"
Dominik Kruzliak,63026929,"D (C), DM"
Sebastián Cabrera,75036622,D/WB (L)
Amarildo Gojani,2000505067,M/AM (C)
Gianluca Bellucci,2000508898,"M (LC), AM (RC)"
Cheick Ibra Koné,2000631747,"M (RL), AM (R), ST (C)"
