,DF,COL,Q0,Q20,Q40,Q60,Q80,Q100
0,ML_abis,Aerial,3.0,6.0,7.0,9.0,11.0,15.5
1,ML_abis,Awareness,6.333333333333333,10.833333333333334,12.0,12.833333333333334,14.0,16.666666666666668
2,ML_abis,Clearing,3.0,7.0,8.0,9.0,11.0,15.0
3,ML_abis,Closing,3.75,8.75,10.25,11.0,12.0,15.0
4,ML_abis,Control,10.0,12.75,14.0,14.5,15.5,18.0
5,ML_abis,Creativity,1.3333333333333333,11.833333333333334,12.666666666666666,13.5,14.166666666666666,16.0
6,ML_abis,Crossing,8.75,11.75,12.75,13.5,14.25,16.25
7,ML_abis,Decision,4.0,11.25,12.25,13.0,13.75,17.0
8,ML_abis,Defensive,3.75,8.75,10.25,11.0,12.0,15.0
9,ML_abis,Dribbling,9.5,12.5,13.5,14.5,15.5,17.5
10,ML_abis,Focus,0.0,10.5,11.5,12.25,13.25,16.5
11,ML_abis,Endeavour,8.125,10.25,11.0,12.25,13.5,15.75
12,ML_abis,Intelligence,4.6,11.3,12.6,13.2,14.1,15.5
13,ML_abis,Marking,2.5,7.5,8.833333333333334,9.833333333333334,11.333333333333334,14.666666666666666
14,ML_abis,Mobility,7.125,13.125,13.75,14.5,15.5,16.75
15,ML_abis,Movement,2.6666666666666665,11.166666666666666,12.166666666666666,12.833333333333334,14.0,16.5
16,ML_abis,Off The Ball,0.0,11.5,12.5,13.5,14.5,16.5
17,ML_abis,Passing,8.666666666666666,11.833333333333334,13.166666666666666,14.0,14.666666666666666,17.0
18,ML_abis,Physical,6.0,10.5,11.25,12.0,13.25,16.0
19,ML_abis,Tackling,2.5,8.25,9.5,10.5,11.5,15.0
