Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Ramiro Macagno,14157119.0,8.0,15.25,17.5,16.17,6.67,8.67,14.25,18.92
Eduardo Sarriegi,2000438820.0,14.33,16.75,15.25,14.83,13.33,12.33,7.0,18.92
Omar Rekik,91187786.0,13.0,11.25,14.5,10.67,10.0,11.67,12.0,13.17
Benjamín Kuscevic,75032824.0,14.33,15.5,12.5,12.5,9.5,11.67,13.5,18.17
Pablo Pérez,2000014927.0,9.0,19.0,22.0,17.67,15.17,18.33,8.0,16.92
Fabio Blanco,2000034357.0,8.83,18.5,16.0,16.67,15.0,17.67,6.0,14.42
Gavi,2000049413.0,6.67,13.75,14.0,14.0,13.0,15.0,8.0,12.33
Valentín Delmás,2000192672.0,12.0,18.62,15.25,16.67,13.0,17.5,10.5,18.5
Alexis,2000438631.0,10.0,18.75,16.5,14.33,17.33,17.0,9.0,14.25
Alfonso Miranda,2000629593.0,14.5,19.12,14.5,17.17,16.0,17.17,7.5,14.83
Atanas Yordanov,2000215422.0,8.67,19.62,15.5,16.33,21.0,18.17,11.0,14.42
Jose Carlos,2000438639.0,15.17,19.0,15.5,15.5,15.83,17.5,6.5,16.92
Martín Martínez,2000439252.0,8.83,17.62,12.5,17.17,15.83,15.5,11.5,16.17
Jairo,2000737759.0,5.67,10.75,12.0,6.33,4.33,6.0,6.0,9.83
Adrian Molina,2000570287.0,11.67,19.12,15.5,16.5,12.67,17.0,11.0,13.83
Oumar Sangaré,2000629589.0,11.5,16.88,18.0,13.0,15.17,14.67,14.75,18.08
Mujaid Sadick,67249928.0,14.67,18.88,18.25,14.83,14.17,14.0,11.5,18.08
Giovanni Cabrera,2000439549.0,6.0,14.0,14.0,12.33,13.67,11.0,11.0,13.5
Orel Mangala,18087973.0,15.5,19.5,19.75,15.83,15.67,18.17,14.25,19.92
Ignatius Ganago,49045927.0,12.17,19.25,14.5,17.33,19.0,15.83,10.0,16.92
Dragan Rosić,62167554.0,7.33,16.38,14.5,14.17,7.0,7.17,15.0,17.67
Franjo Lazar,2000028271.0,12.67,15.25,21.25,12.17,13.67,12.67,7.25,15.0
Txus Alba,2000048420.0,10.0,15.62,12.5,20.0,17.83,17.17,7.0,17.25
Eiður Gauti Sigurpálsson,2000355767.0,5.33,15.5,22.75,10.17,2.83,21.0,16.75,5.42
Abel Angulo,2000438635.0,18.5,16.0,11.0,17.67,17.17,14.5,9.0,18.42
Marc Trives,2000439546.0,9.83,14.88,13.0,15.5,22.5,13.5,12.5,16.17
Friday Opara,2000442249.0,12.0,18.62,16.5,15.17,9.83,14.67,9.0,17.83
Kostyantyn Vivcharenko,71113673.0,12.0,18.62,17.25,19.0,15.5,16.67,9.5,19.33
Talla Mendy,2000510695.0,13.67,18.25,21.5,13.0,8.67,11.0,7.25,18.08
Joselito,2000510697.0,12.0,18.38,18.5,13.5,10.0,9.5,11.5,19.75
