Player,UID,CD,BPD,NNCB,Lib
Thibaut Courtois,18026122.0,11.8,11.8,11.2,10.7
Pedro Porro,67268221.0,11.4,12.1,11.6,13.9
Boubacar Kamara,48043084.0,16.65,15.15,15.65,16.0
Takehiro Tomiyasu,45095490.0,13.9,13.9,13.9,13.9
Fabrice Mbassi,2000191910.0,12.3,12.9,12.1,15.35
Youri Tielemans,18077264.0,14.05,14.85,13.95,17.95
Juan Martín Sancho,2000377686.0,10.5,12.0,10.6,12.9
Raheem Sterling,28054109.0,11.4,11.9,11.2,14.3
Jadon Sancho,28108490.0,11.0,12.3,10.8,14.6
Lê,2000410610.0,14.9,15.2,14.9,15.1
Zinho Vanheusden,18091405.0,14.5,14.4,14.1,13.7
Angeliño,28095342.0,11.6,11.8,11.3,13.7
Francisco Mora,2000437769.0,12.85,12.3,12.4,10.7
Éder Militão,19273276.0,14.6,14.4,14.8,13.9
Abderrahmane Sefrioui,2000433189.0,13.6,12.8,13.5,13.2
Vinícius Júnior,19302146.0,11.8,11.7,12.0,13.2
Odsonne Edouard,48036880.0,10.8,11.2,10.7,11.1
Edmond Tapsoba,13196616.0,15.45,14.6,14.95,15.4
Kylian Mbappé,85139014.0,10.0,10.5,9.4,12.9
Ciprian Trandafir,2000189363.0,13.7,13.6,14.3,14.85
Matías Zeiden,2000272732.0,14.2,15.2,14.0,17.4
Andrew Sinclair,2000432933.0,14.2,14.65,15.45,16.65
Isaac Guerra,2000439269.0,15.35,14.55,14.3,16.4
Boris Peters,2000506902.0,9.0,10.1,9.0,10.8
Roberto Bonilla,2000569765.0,15.1,14.7,14.35,16.15
