Player,UID,WM,W,DW,IW,IF,WG
Sergi Pascual,2000196434,13.2,12.7,13.1,14.8,14.0,12.92
António Silva,83320135,10.1,10.3,12.3,10.8,9.7,10.83
David Carmo,83111598,11.5,11.6,13.0,12.1,11.6,12.08
Mikel Oyarzábal,67220143,14.4,14.3,13.7,15.6,15.5,13.83
Gaetano Oristanio,43425611,12.6,13.3,10.8,14.2,13.7,12.75
Adam Hlozek,31041522,11.0,13.2,9.7,12.1,12.5,13.0
Scott Diaz,2000706461,11.3,10.7,11.0,12.7,12.2,10.75
John Bueno,2000419425,15.0,15.4,12.4,16.0,15.8,13.92
Luka Bransteter,2000054638,11.6,13.4,9.9,13.2,13.3,13.33
William Saliba,49039004,12.3,12.9,13.6,12.4,11.9,13.33
Tibo De Vos,2000663034,11.8,12.8,10.3,13.2,13.4,12.33
Özgün Karatepe,2000631119,11.5,11.0,12.6,11.4,11.2,10.92
Ignacio Vallina,2000570634,14.0,13.7,14.3,15.0,14.2,13.67
Alen Bartolović,2000506471,10.4,12.7,8.0,11.9,12.0,12.67
Paweł Brzyski,2000433744,12.4,12.4,11.7,14.0,13.2,12.67
Ayrton Tallura,2000274550,13.6,13.9,11.3,15.9,14.8,13.0
Renato Pereira,2000190646,11.7,12.1,12.4,13.0,12.3,11.92
José Gragera,67263880,12.2,11.1,12.9,13.1,12.5,11.75
Álex Remiro,67183918,8.0,8.0,9.5,10.1,9.5,8.17
Gabriel Martinelli,19351309,12.7,14.4,11.4,14.5,14.4,14.17
Piotr Jabłoński,2000623979,13.4,13.5,13.8,12.9,12.9,12.17
Pablo,2000572050,12.7,14.2,11.1,13.7,13.3,13.5
Vicente,2000571659,10.0,11.6,7.7,11.1,10.9,11.08
Matthias Hasa,2000568032,12.6,13.4,10.4,13.9,13.5,12.83
Manuel Bosch,2000514796,11.4,12.3,10.6,12.9,12.5,11.83
Harald Klingmann,2000504134,10.2,10.4,11.8,10.6,10.4,10.83
Aritz García,2000439255,9.7,10.1,11.7,9.5,9.2,10.58
John Damiano,2000435431,12.3,11.2,14.0,12.2,11.7,10.42
Kai Ocaña,2000194470,12.2,13.2,11.1,12.8,12.3,12.75
Denis Zakaria,98034601,13.0,13.0,13.1,13.4,12.9,13.0
Robin Le Normand,48037162,11.8,11.2,13.7,12.0,11.8,11.83
Brandon Williams,28115834,13.1,13.8,13.0,12.5,12.8,13.25
Francesco Zamuner,2000626880,11.2,10.5,11.1,12.4,12.1,10.33
Felipe,2000510074,12.3,14.2,11.5,12.4,12.6,13.83
Lukas Mohr,2000432897,11.6,11.5,12.6,12.0,11.5,11.75
Kim Christian Høyenhall,2000182998,7.4,7.4,9.4,9.7,8.9,7.58
Koldo Valencia,2000663358,11.3,12.1,10.0,11.6,11.9,11.17
Souza,2000607666,13.4,13.1,14.3,13.5,12.7,13.42
Agustín Kranevitter,2000612966,7.2,7.0,8.4,8.9,7.9,7.33
Antonio Navarro,2000571902,10.5,11.7,10.9,10.5,9.9,10.83
Stefán Þór Jónsson,2000531873,10.6,9.5,11.8,10.1,9.8,9.92
Ronald Woudenberg,2000633117,6.5,6.6,7.6,8.1,7.0,6.67
