Player,UID,GK,DRL,DC,WBRL,DM,MRL,MC,AMRL,AMC,SC
Álex Remiro,67183918.0,806.0,867.0,1019.0,834.0,952.0,843.0,1001.0,930.0,967.0,1067.0
Kim Christian Høyenhall,2000182998.0,769.0,840.0,990.0,808.0,916.0,800.0,945.0,891.0,915.0,1009.0
Robin Le Normand,48037162.0,893.0,1108.0,1363.0,1057.0,1236.0,1047.0,1241.0,1173.0,1178.0,1384.0
António Silva,83320135.0,941.0,1121.0,1389.0,1062.0,1233.0,1044.0,1233.0,1174.0,1189.0,1360.0
William Saliba,49039004.0,940.0,1158.0,1395.0,1114.0,1280.0,1127.0,1305.0,1265.0,1262.0,1486.0
Lukas Mohr,2000432897.0,889.0,1097.0,1325.0,1052.0,1218.0,1047.0,1208.0,1182.0,1180.0,1363.0
Piotr Jabłoński,2000623979.0,827.0,1069.0,1196.0,1062.0,1195.0,1084.0,1244.0,1234.0,1204.0,1347.0
Denis Zakaria,98034601.0,874.0,1102.0,1306.0,1068.0,1241.0,1084.0,1276.0,1223.0,1229.0,1429.0
Renato Pereira,2000190646.0,890.0,1074.0,1273.0,1038.0,1221.0,1057.0,1265.0,1178.0,1210.0,1356.0
John Damiano,2000435431.0,916.0,1084.0,1255.0,1041.0,1209.0,1035.0,1222.0,1161.0,1166.0,1272.0
Ignacio Vallina,2000570634.0,954.0,1185.0,1412.0,1149.0,1344.0,1177.0,1409.0,1314.0,1345.0,1512.0
Brandon Williams,28115834.0,871.0,1076.0,1256.0,1060.0,1182.0,1082.0,1217.0,1227.0,1188.0,1410.0
David Carmo,83111598.0,866.0,1070.0,1310.0,1030.0,1193.0,1039.0,1224.0,1164.0,1171.0,1394.0
Souza,2000607666.0,938.0,1180.0,1414.0,1128.0,1323.0,1134.0,1330.0,1270.0,1281.0,1473.0
Kai Ocaña,2000194470.0,866.0,1047.0,1174.0,1043.0,1137.0,1096.0,1225.0,1245.0,1214.0,1392.0
José Gragera,67263880.0,830.0,1054.0,1266.0,1017.0,1192.0,1041.0,1234.0,1161.0,1182.0,1383.0
Sergi Pascual,2000196434.0,942.0,1177.0,1408.0,1140.0,1345.0,1171.0,1397.0,1304.0,1346.0,1565.0
Paweł Brzyski,2000433744.0,924.0,1102.0,1293.0,1073.0,1253.0,1111.0,1306.0,1243.0,1278.0,1481.0
Scott Diaz,2000706461.0,824.0,991.0,1146.0,971.0,1111.0,1011.0,1168.0,1128.0,1149.0,1319.0
Pablo,2000572050.0,780.0,1040.0,1176.0,1055.0,1170.0,1105.0,1249.0,1261.0,1241.0,1448.0
Gaetano Oristanio,43425611.0,835.0,1051.0,1183.0,1056.0,1202.0,1128.0,1290.0,1265.0,1282.0,1482.0
Ayrton Tallura,2000274550.0,785.0,1020.0,1113.0,1038.0,1177.0,1104.0,1299.0,1247.0,1270.0,1406.0
John Bueno,2000419425.0,887.0,1145.0,1255.0,1156.0,1317.0,1226.0,1415.0,1377.0,1383.0,1575.0
Felipe,2000510074.0,785.0,995.0,1140.0,994.0,1092.0,1034.0,1156.0,1171.0,1141.0,1382.0
Matthias Hasa,2000568032.0,726.0,974.0,1064.0,997.0,1112.0,1067.0,1215.0,1219.0,1205.0,1374.0
Koldo Valencia,2000663358.0,745.0,918.0,990.0,917.0,1023.0,972.0,1092.0,1108.0,1089.0,1234.0
Luka Bransteter,2000054638.0,882.0,1054.0,1194.0,1042.0,1158.0,1104.0,1241.0,1251.0,1254.0,1524.0
Tibo De Vos,2000663034.0,804.0,1025.0,1132.0,1030.0,1135.0,1085.0,1206.0,1239.0,1221.0,1438.0
Gabriel Martinelli,19351309.0,875.0,1067.0,1206.0,1068.0,1186.0,1137.0,1284.0,1290.0,1284.0,1534.0
Adam Hlozek,31041522.0,806.0,1006.0,1147.0,1004.0,1100.0,1058.0,1173.0,1209.0,1183.0,1450.0
Mikel Oyarzábal,67220143.0,911.0,1155.0,1345.0,1141.0,1328.0,1198.0,1406.0,1335.0,1360.0,1589.0
