Player,UID,Aerial,Awareness,Clearing,Closing,Control,Creativity,Crossing,Decision,Defensive,Dribbling,Focus,Endeavour,Intelligence,Marking,Mobility,Movement,Off The Ball,Passing,Physical,Shooting,Tackling
Arijanet Murić,28108492.0,18.0,11.666666666666666,4.0,12.0,11.5,9.666666666666666,8.833333333333334,11.0,12.0,7.25,12.5,14.625,10.2,9.0,12.875,11.666666666666666,3.5,12.25,12.0,4.833333333333333,4.0
José María Noguera,2000438352.0,14.0,12.333333333333334,13.0,14.0,15.0,13.666666666666666,12.666666666666666,14.0,14.0,12.0,13.0,15.0,12.8,13.666666666666666,15.0,14.0,7.0,15.0,15.0,9.0,14.0
Dario Maresic,16170605.0,15.0,13.333333333333334,13.0,11.5,13.0,12.666666666666666,11.833333333333334,12.5,11.5,12.0,11.5,12.0,12.6,12.333333333333334,14.0,13.333333333333334,6.0,14.5,14.5,8.666666666666666,12.0
Emmanuel,2000569770.0,15.0,14.5,12.0,15.0,10.0,14.166666666666666,9.833333333333334,15.0,15.0,9.75,14.0,12.875,13.9,14.333333333333334,13.75,15.5,9.5,12.0,14.0,6.666666666666667,13.0
Rubén,2000510866.0,12.0,12.833333333333334,9.0,11.0,13.25,12.666666666666666,11.833333333333334,14.5,11.0,16.0,12.5,13.5,12.4,11.333333333333334,14.125,14.5,13.5,13.0,14.5,10.666666666666666,11.0
Federico Real,2000193194.0,5.0,13.666666666666666,9.0,14.0,13.0,13.666666666666666,11.166666666666666,15.5,14.0,11.0,13.25,12.5,13.2,14.833333333333334,13.375,15.666666666666666,8.0,13.0,13.0,10.333333333333334,13.0
Joan Jordán,67187249.0,12.5,12.833333333333334,7.0,14.0,14.5,13.5,13.333333333333334,14.0,14.0,10.75,15.5,12.0,13.5,13.166666666666666,9.0,13.166666666666666,13.5,14.5,10.25,11.833333333333334,12.0
Martín Zubimendi,67246385.0,12.0,14.666666666666666,14.0,14.0,15.0,11.666666666666666,13.333333333333334,14.0,14.0,14.0,14.5,13.25,13.2,13.666666666666666,13.0,13.666666666666666,7.0,15.5,13.0,12.0,12.0
Isaac Lihadji,49048366.0,6.0,14.666666666666666,9.0,11.5,14.0,13.833333333333334,12.0,13.25,11.5,14.5,12.0,10.5,14.1,10.166666666666666,15.125,13.833333333333334,15.0,13.0,12.25,11.833333333333334,6.5
Raphinha,19242277.0,6.0,12.333333333333334,9.0,11.5,16.5,14.666666666666666,14.666666666666666,12.0,11.5,15.5,13.5,14.0,13.6,10.333333333333334,13.75,12.333333333333334,15.0,15.5,9.0,14.333333333333334,11.0
Alvaro,2000510252.0,10.0,15.166666666666666,15.0,13.0,17.5,16.333333333333332,15.666666666666666,13.5,13.0,16.75,14.5,10.75,15.6,11.5,16.25,14.5,12.5,18.0,15.25,15.666666666666666,7.0
0,29126231.0,5.0,12.166666666666666,9.0,11.75,13.25,12.666666666666666,13.0,13.0,11.75,12.25,12.5,13.625,12.4,11.833333333333334,13.5,12.833333333333334,12.5,13.0,11.5,10.5,13.0
Valeri Gavazov,2000215456.0,7.0,10.333333333333334,5.0,11.75,14.5,13.166666666666666,13.333333333333334,10.25,11.75,16.0,10.75,10.75,11.7,9.333333333333334,13.875,10.833333333333334,12.0,15.25,9.75,11.5,7.5
Munir,67174735.0,7.0,13.833333333333334,8.0,11.5,15.75,14.333333333333334,14.166666666666666,12.75,11.5,13.5,12.75,11.625,14.2,8.666666666666666,12.25,13.0,13.5,14.75,11.75,14.166666666666666,4.0
Rogelinho,2000439844.0,10.0,12.666666666666666,8.0,9.5,12.5,14.0,10.333333333333334,15.0,9.5,13.5,9.5,9.75,14.0,7.0,15.0,13.333333333333334,10.0,11.0,7.5,10.0,4.0
Andri Fannar Sigurgeirsson,2000439839.0,12.0,15.0,12.0,13.75,8.75,12.5,7.333333333333333,16.25,13.75,8.5,13.0,10.875,13.7,13.166666666666666,13.75,15.5,9.0,9.0,13.0,7.5,13.0
