Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Arijanet Murić,28108492.0,15.75,13.4,14.1,14.4,15.85,14.2,14.25,14.1
José María Noguera,2000438352.0,14.2,12.9,14.3,13.6,14.0,12.5,13.0,14.0
Dario Maresic,16170605.0,13.1,12.4,12.7,12.8,13.5,12.3,12.9,13.4
Emmanuel,2000569770.0,18.55,16.25,17.85,16.85,17.4,15.9,16.95,17.65
Rubén,2000510866.0,18.85,17.95,18.05,19.85,19.55,18.4,20.35,18.75
Federico Real,2000193194.0,17.85,16.95,16.85,16.55,16.6,15.7,16.1,17.55
Joan Jordán,67187249.0,18.95,18.0,16.1,17.95,17.5,17.55,16.45,17.45
Martín Zubimendi,67246385.0,17.0,15.25,14.9,14.95,15.45,15.1,14.75,15.85
Isaac Lihadji,49048366.0,18.85,18.05,15.35,18.4,18.5,19.3,20.05,16.8
Raphinha,19242277.0,13.4,13.6,11.4,13.4,13.3,14.6,14.4,12.5
Alvaro,2000510252.0,20.15,19.2,16.6,18.95,19.6,19.95,20.95,18.2
0,29126231.0,17.65,17.75,17.8,18.85,18.6,17.8,18.05,18.45
Valeri Gavazov,2000215456.0,17.35,16.35,12.3,15.7,15.8,18.55,18.85,13.65
Munir,67174735.0,19.25,18.6,13.9,17.75,18.1,19.6,19.55,15.6
Rogelinho,2000439844.0,10.8,9.9,8.5,11.5,11.6,12.0,12.4,10.3
Andri Fannar Sigurgeirsson,2000439839.0,17.45,15.1,17.2,17.1,17.65,14.9,16.25,18.15
Lucas Ocampos,14031132.0,17.4,16.85,16.15,17.9,17.25,17.5,17.1,15.9
Mads Pedersen,27088224.0,17.85,17.7,15.95,18.55,17.95,18.85,18.7,17.7
Jordan Henderson,28005568.0,14.8,14.5,14.1,14.2,14.2,13.6,12.7,14.6
Koke,67047092.0,21.8,21.1,19.1,20.8,19.85,19.55,18.95,20.0
Óliver,67169689.0,20.7,18.75,13.9,18.15,18.7,19.1,18.7,16.45
José Marsà,67279755.0,13.1,12.7,13.8,12.9,13.3,12.6,12.9,13.5
Gonçalo Ramos,83209468.0,19.55,17.65,14.8,17.3,17.35,19.65,19.7,15.75
Rasmus Højlund,27160181.0,11.05,10.65,10.75,11.65,11.35,11.4,11.9,10.35
Agustín,2000440745.0,17.5,16.8,15.85,17.8,17.9,18.1,18.7,16.8
