Player,UID,Position
Arijanet Murić,28108492,GK
José María Noguera,2000438352,"D (RLC), WB (R)"
Dario Maresic,16170605,"D (C), DM"
Emmanuel,2000569770,"D (LC), DM"
Rubén,2000510866,D/WB/M (L)
Federico Real,2000193194,"D (C), DM, M (C)"
Joan Jordán,67187249,"DM, M (C)"
Martín Zubimendi,67246385,"DM, M (C)"
Isaac Lihadji,49048366,"M (R), AM (RC)"
Raphinha,19242277,M/AM (RL)
Alvaro,2000510252,"AM (C), ST (C)"
0,29126231,"D (RL), WB (R)"
Valeri Gavazov,2000215456,"M (C), AM (RC)"
Munir,67174735,"M (L), AM (RLC), ST (C)"
Rogelinho,2000439844,"AM (R), ST (C)"
Andri Fannar Sigurgeirsson,2000439839,"D (LC), M (C)"
Lucas Ocampos,14031132,"M (L), AM (RLC), ST (C)"
Mads Pedersen,27088224,D/WB/M (L)
Jordan Henderson,28005568,"D (RC), DM, M (C)"
Koke,67047092,"DM, M (RLC)"
Óliver,67169689,"DM, M/AM (LC)"
José Marsà,67279755,D (LC)
Gonçalo Ramos,83209468,"M/AM (C), ST (C)"
Rasmus Højlund,27160181,ST (C)
Agustín,2000440745,"M (RC), AM (C)"
