Player,UID,DM,AM,BWM,HB,SV,RGA
Pedro Javier López,2000202554.0,14.05,12.85,12.85,13.5,12.75,13.55
Nikola Colic,2000212623.0,18.7,18.7,18.7,18.55,18.05,16.1
Ramón Santos,2000440896.0,17.3,17.55,17.55,17.15,15.2,15.35
Xabier Gourgues,2000663362.0,12.7,12.8,12.8,13.1,12.2,10.5
Manu Sánchez,67284340.0,17.1,16.85,16.85,17.65,17.25,15.65
Jon Moncayola,67267210.0,16.8,17.15,17.15,18.15,16.75,15.1
Pierre Kunde,67211690.0,15.85,15.9,15.9,18.25,15.65,14.3
Mohamed Cissé,2000565877.0,11.2,11.1,11.1,11.6,11.6,11.8
Bart Ramselaar,37045888.0,16.5,16.35,16.35,16.05,17.05,18.95
Yann Karamoh,85144982.0,10.0,10.35,10.35,11.1,11.35,15.0
Roberto,2000440887.0,14.15,14.65,14.65,14.0,15.25,18.05
Uğur Özbay,2000432893.0,13.3,13.1,13.1,12.4,12.1,10.2
Silvan Hefti,98038279.0,17.3,17.65,17.65,18.9,17.6,15.15
Alberto Leon Fernández,2000631656.0,11.45,11.5,11.5,11.4,11.55,13.7
Eugenio,2000632614.0,12.25,12.55,12.55,11.65,11.85,12.65
Carlos Abraham,2000440884.0,18.95,19.1,19.1,18.25,17.35,16.5
Gaizka Larrazabal,67256616.0,15.8,15.5,15.5,16.1,15.4,17.35
Mama Baldé,55070279.0,13.75,14.3,14.3,14.35,13.3,14.85
Santi Comesaña,67224142.0,16.25,16.45,16.45,16.1,16.0,15.2
Javi Martínez,67249495.0,15.5,15.2,15.2,15.05,15.6,18.25
Juan Artola,67260216.0,14.1,13.85,13.85,12.9,14.95,16.6
Julio Villalba,79028819.0,12.9,13.4,13.4,16.2,13.6,16.0
Álvaro García,89062864.0,15.0,13.8,13.8,14.4,15.25,16.15
Samy Chouchane,2000010841.0,16.3,15.8,15.8,16.4,15.9,14.35
Alex Hernando,2000197164.0,13.9,14.5,14.5,15.15,11.45,10.15
José Alberto Nieto,2000197171.0,16.0,15.1,15.1,14.8,15.75,19.0
Jordi,2000513013.0,17.95,17.6,17.6,17.7,16.9,17.15
Laure,2000631655.0,16.1,15.35,15.35,16.0,15.95,16.85
