Player,UID,AF,CF,DLF,F9,P,PF,TM
Pedro Javier López,2000202554.0,13.55,10.0,14.0,11.9,13.55,12.0,11.0
Nikola Colic,2000212623.0,16.5,14.55,16.7,15.85,16.5,16.5,15.35
Ramón Santos,2000440896.0,16.8,13.65,15.7,15.05,16.8,16.8,14.5
Xabier Gourgues,2000663362.0,12.1,10.6,11.3,10.4,12.1,11.9,12.0
Manu Sánchez,67284340.0,16.9,15.85,17.2,16.05,16.9,17.45,15.75
Jon Moncayola,67267210.0,15.85,14.4,15.1,14.2,15.85,16.6,14.8
Pierre Kunde,67211690.0,17.65,15.05,15.3,15.2,17.65,18.05,15.75
Mohamed Cissé,2000565877.0,14.9,12.4,13.1,13.0,14.9,13.9,12.2
Bart Ramselaar,37045888.0,17.85,17.0,18.15,19.0,17.85,15.8,15.3
Yann Karamoh,85144982.0,16.5,14.1,15.6,16.45,16.5,13.55,14.65
Roberto,2000440887.0,22.1,17.45,19.6,19.35,22.1,18.45,17.5
Uğur Özbay,2000432893.0,10.7,10.3,11.2,10.0,10.7,11.6,10.8
Silvan Hefti,98038279.0,16.3,15.35,17.2,15.9,16.3,17.9,15.65
Alberto Leon Fernández,2000631656.0,17.1,12.5,14.1,14.85,17.1,14.0,12.7
Eugenio,2000632614.0,13.95,11.75,12.75,12.95,13.95,13.25,12.35
Carlos Abraham,2000440884.0,16.5,15.2,15.95,15.55,16.5,17.5,15.35
Gaizka Larrazabal,67256616.0,16.55,15.55,16.4,16.8,16.55,16.2,14.3
Mama Baldé,55070279.0,15.5,14.35,14.9,15.25,15.5,15.7,13.2
Santi Comesaña,67224142.0,16.2,14.9,15.0,14.55,16.2,16.05,15.2
Javi Martínez,67249495.0,15.7,15.45,16.9,16.8,15.7,14.0,14.0
Juan Artola,67260216.0,16.05,13.9,16.1,16.95,16.05,13.7,13.15
Julio Villalba,79028819.0,16.8,16.75,17.05,16.85,16.8,16.55,16.0
Álvaro García,89062864.0,12.9,13.7,15.05,14.8,12.9,13.05,12.55
Samy Chouchane,2000010841.0,14.55,13.4,13.9,13.6,14.55,16.55,12.9
Alex Hernando,2000197164.0,11.7,8.05,10.0,8.45,11.7,13.15,10.25
José Alberto Nieto,2000197171.0,18.7,16.85,18.45,19.2,18.7,16.6,15.3
Jordi,2000513013.0,16.5,14.5,16.5,15.9,16.5,16.6,14.35
Laure,2000631655.0,15.2,14.35,16.85,16.9,15.2,14.7,13.25
