Player,UID,AML,AMR,IW_AML,IW_AMR,W_AML,W_AMR,IF_AML,IF_AMR,WG_AML,WG_AMR
Rubén Blanco,67156610.0,10.1,10.1,10.1,10.1,8.25,8.25,9.15,9.15,8.17,8.17
Luís Rodrigues,2000436535.0,13.2,13.2,13.2,13.2,10.8,10.8,12.4,12.4,10.92,10.92
Ricardo Graça,83107071.0,12.5,12.5,12.5,12.5,11.75,11.75,12.4,12.4,11.88,11.88
Andrejs Ciganiks,37075484.0,12.1,12.1,12.1,12.1,12.0,12.0,11.65,11.65,11.58,11.58
Billy Gilmour,61078265.0,13.65,13.65,13.65,13.65,11.25,11.25,13.2,13.2,10.62,10.62
Antonio Blanco,67256515.0,13.25,13.25,13.25,13.25,12.6,12.6,12.55,12.55,12.33,12.33
Gorka Alarcón,2000194477.0,12.55,12.55,12.55,12.55,14.0,14.0,12.35,12.35,13.5,13.5
Rodrigo Gogna,2000273938.0,16.25,16.25,16.25,16.25,14.4,14.4,15.6,15.6,14.0,14.0
Octavian Popescu,57175903.0,14.2,14.2,14.2,14.2,13.2,13.2,13.4,13.4,12.58,12.58
Yago Freitas,2000570843.0,14.4,14.4,14.4,14.4,14.6,14.6,14.5,14.5,13.33,13.33
Christian Kouamé,43201838.0,13.55,13.55,13.55,13.55,13.65,13.65,13.25,13.25,13.38,13.38
Sergio Rico,67171745.0,8.25,8.25,8.25,8.25,7.2,7.2,7.6,7.6,7.58,7.58
Timo Zaal,2000022712.0,9.8,9.8,9.8,9.8,10.5,10.5,9.5,9.5,11.33,11.33
Luis Garai,2000681737.0,11.6,11.6,11.6,11.6,13.3,13.3,11.6,11.6,12.58,12.58
Dawid Kownacki,96059679.0,12.4,12.4,12.4,12.4,13.1,13.1,12.6,12.6,13.0,13.0
Ali Tweed,2000432931.0,10.1,10.1,10.1,10.1,10.05,10.05,9.75,9.75,10.96,10.96
Reiss Nelson,28107919.0,12.85,12.85,12.85,12.85,13.4,13.4,12.9,12.9,12.08,12.08
Aarón Martín,67196209.0,12.85,12.85,12.85,12.85,13.2,13.2,12.25,12.25,12.33,12.33
Manu Morlanes,67228802.0,13.7,13.7,13.7,13.7,12.6,12.6,13.5,13.5,11.92,11.92
Unai Gómez,2000065899.0,14.0,14.0,14.0,14.0,10.8,10.8,13.3,13.3,10.17,10.17
Junior Esparragoza,2000179937.0,10.65,10.65,10.65,10.65,10.4,10.4,10.1,10.1,10.5,10.5
Germán,2000194475.0,10.3,10.3,10.3,10.3,10.35,10.35,10.05,10.05,11.21,11.21
Emil Bohinen,53126104.0,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.0,12.0
Pedro Esperancinha,2000437963.0,10.8,10.8,10.8,10.8,11.0,11.0,10.3,10.3,10.92,10.92
Nino,2000511282.0,12.7,12.7,12.7,12.7,13.1,13.1,12.2,12.2,12.83,12.83
