Player,UID,DM,AM,BWM,HB,SV,RGA
Rubén Blanco,67156610.0,13.05,13.15,13.15,13.75,14.25,14.25
Luís Rodrigues,2000436535.0,14.9,14.9,14.9,14.6,14.4,13.5
Ricardo Graça,83107071.0,15.0,15.45,15.45,15.5,15.05,14.9
Andrejs Ciganiks,37075484.0,13.8,14.1,14.1,13.9,14.2,13.95
Billy Gilmour,61078265.0,15.95,15.7,15.7,17.9,17.1,17.15
Antonio Blanco,67256515.0,18.85,19.2,19.2,17.95,18.4,17.3
Gorka Alarcón,2000194477.0,11.9,12.0,12.0,13.2,12.25,12.85
Rodrigo Gogna,2000273938.0,18.95,19.4,19.4,17.15,18.25,21.05
Octavian Popescu,57175903.0,16.3,16.1,16.1,15.35,17.65,19.15
Yago Freitas,2000570843.0,10.3,10.0,10.0,10.2,10.7,12.5
Christian Kouamé,43201838.0,14.75,14.85,14.85,15.65,14.7,18.2
Sergio Rico,67171745.0,13.05,13.6,13.6,13.7,12.6,14.05
Timo Zaal,2000022712.0,17.0,15.8,15.8,15.0,16.05,14.55
Luis Garai,2000681737.0,9.1,9.0,9.0,10.0,9.6,10.0
Dawid Kownacki,96059679.0,15.05,15.4,15.4,16.3,14.3,13.9
Ali Tweed,2000432931.0,16.55,16.3,16.3,18.35,16.1,13.1
Reiss Nelson,28107919.0,13.95,13.65,13.65,14.4,14.65,16.9
Aarón Martín,67196209.0,17.15,17.65,17.65,17.4,17.85,18.15
Manu Morlanes,67228802.0,18.35,17.45,17.45,18.25,17.6,17.4
Unai Gómez,2000065899.0,15.9,14.4,14.4,14.0,16.0,16.3
Junior Esparragoza,2000179937.0,17.8,17.35,17.35,18.1,16.2,15.3
Germán,2000194475.0,15.7,15.9,15.9,18.7,15.1,13.85
Emil Bohinen,53126104.0,14.25,14.2,14.2,14.35,15.7,17.65
Pedro Esperancinha,2000437963.0,18.0,17.95,17.95,17.85,15.15,14.4
Nino,2000511282.0,14.2,15.4,15.4,14.35,14.4,16.65
