Player,UID,FB,WB,IWB,CWB,NNFB
Rubén Blanco,67156610.0,12.95,9.4,13.6,11.23,12.1
Luís Rodrigues,2000436535.0,14.2,12.0,14.7,12.62,14.7
Ricardo Graça,83107071.0,15.1,14.55,14.85,14.58,15.15
Andrejs Ciganiks,37075484.0,13.9,14.2,14.4,13.77,13.5
Billy Gilmour,61078265.0,16.65,15.25,16.0,15.77,17.0
Antonio Blanco,67256515.0,19.55,18.1,17.7,17.27,17.8
Gorka Alarcón,2000194477.0,12.3,12.95,11.3,13.12,12.3
Rodrigo Gogna,2000273938.0,17.7,17.05,18.5,18.0,16.0
Octavian Popescu,57175903.0,16.0,16.65,17.6,17.38,14.9
Yago Freitas,2000570843.0,11.0,11.8,10.3,12.08,9.6
Christian Kouamé,43201838.0,14.9,14.1,14.7,14.46,14.3
Sergio Rico,67171745.0,11.7,6.8,11.85,7.96,11.7
Timo Zaal,2000022712.0,17.5,14.65,15.5,14.0,15.3
Luis Garai,2000681737.0,10.4,12.0,9.5,12.08,9.8
Dawid Kownacki,96059679.0,14.9,13.0,13.6,12.77,15.2
Ali Tweed,2000432931.0,16.65,13.9,15.85,13.96,17.85
Reiss Nelson,28107919.0,14.35,15.4,14.7,15.88,14.05
Aarón Martín,67196209.0,17.95,17.55,17.15,17.65,16.4
Manu Morlanes,67228802.0,19.2,18.5,17.95,17.92,19.0
Unai Gómez,2000065899.0,16.2,15.65,15.9,16.12,14.3
Junior Esparragoza,2000179937.0,17.3,14.4,16.45,13.65,18.0
Germán,2000194475.0,15.8,13.5,15.0,14.12,18.2
Emil Bohinen,53126104.0,14.1,14.75,15.5,15.81,13.45
Pedro Esperancinha,2000437963.0,17.4,13.75,15.3,13.31,16.8
Nino,2000511282.0,14.2,14.45,14.45,15.23,12.3
