Player,UID,DLP,Regista,BWM,BBM,CM,AP,Mezzala,Carrilero
Carles,2000192884.0,15.45,12.5,14.05,14.05,14.7,12.25,12.65,14.15
Odilon Kossounou,93127195.0,16.6,14.75,15.95,15.3,15.2,15.8,15.25,15.6
Oriol Busquets,67225653.0,17.4,17.4,16.0,16.85,16.55,17.1,17.95,16.9
Didier,2000509916.0,13.7,13.3,13.8,13.7,13.4,13.7,13.4,13.8
Dmytro Smalyukh,2000461897.0,14.1,13.0,12.8,13.3,13.7,12.7,13.0,14.2
Óliver Pueyo,2000569557.0,19.15,17.5,18.1,19.6,19.65,17.35,18.0,18.65
John Córdoba,2000416582.0,18.45,16.25,17.0,19.15,19.2,17.45,19.05,17.65
Luis Vicente,2000438000.0,15.4,14.5,14.3,15.3,15.5,14.8,15.6,15.3
Samuel Chukwueze,67269484.0,14.35,14.05,11.95,14.35,14.45,14.7,14.8,13.15
Javi Ontiveros,67211745.0,13.4,13.4,10.2,12.8,12.9,14.4,14.4,11.8
Mohamed Cisse,2000509917.0,17.3,16.75,13.35,17.0,16.0,19.35,19.25,14.85
Emrah Ağın,2000244749.0,17.55,14.55,17.45,15.35,17.2,14.3,13.75,17.4
Gianfranco Giuffrè,2000272929.0,17.45,16.55,13.3,16.45,16.5,18.0,18.7,14.45
Faustino,2000438001.0,13.3,13.1,10.5,13.4,13.0,15.0,15.1,11.6
Fernando Niño,67258829.0,16.25,14.6,16.6,16.05,15.65,15.25,14.15,16.3
Abdul Mumin,27128916.0,13.5,12.4,14.2,13.0,13.3,12.4,12.7,13.9
Maxence Caqueret,48044737.0,20.0,18.3,18.55,20.35,19.75,17.55,18.55,19.1
Alfonso Pedraza,67212046.0,18.2,18.65,18.25,19.05,18.15,18.7,18.85,18.2
Manu Morlanes,67228802.0,17.1,17.05,18.25,18.9,18.35,16.05,17.3,18.0
Iván Muñoz,67295020.0,14.05,14.0,15.15,14.0,13.65,13.8,13.95,15.25
Francisco Conceição,83261140.0,17.6,17.6,14.85,16.9,16.8,18.9,19.15,14.9
Wanderson Bastos,2000410491.0,14.3,13.45,16.0,13.9,14.15,13.65,13.75,14.6
Yesinguer Vinasco,2000415655.0,18.35,17.25,12.85,17.75,17.5,19.0,19.85,15.0
José Vicente Muñoz,2000509912.0,15.4,12.25,14.6,14.9,16.2,12.75,13.1,15.55
Álex,2000509919.0,15.55,13.7,14.3,15.7,15.95,15.85,16.9,14.4
Andrés Torres,2000628761.0,14.2,14.2,10.6,14.2,14.4,15.0,15.1,12.8
