Player,UID,Defending,Physical,Speed,Vision,Attacking,Technical,Aerial,Mental
Pablo,2000193992.0,5.67,13.0,13.0,8.67,4.33,6.0,8.5,13.17
Alejandro Francés,67281886.0,14.33,19.5,17.0,15.17,14.0,14.33,12.5,19.42
Arkadiusz Marciniak,2000232548.0,14.67,22.62,20.5,14.33,11.67,11.0,14.5,17.42
Quique Clemente,67246261.0,14.0,18.88,20.5,19.33,14.67,16.33,12.0,18.67
Eric Kahl,93142833.0,12.0,19.88,21.0,15.5,14.5,16.17,10.0,17.58
Ismaïla Sarr,48042766.0,8.17,15.25,15.5,11.67,13.33,13.0,7.5,14.0
Francho,67278162.0,17.0,17.38,19.0,15.33,17.67,16.67,13.5,18.42
Renato Adriano,2000411533.0,14.83,20.0,19.0,14.33,16.67,14.0,14.0,19.0
Ruben Vargas,98041215.0,12.0,15.38,14.0,13.33,13.33,14.0,9.5,14.08
Javi Mas,2000511079.0,14.67,18.62,19.0,16.33,17.17,19.67,15.5,19.42
Jorge Cañadas,2000511078.0,8.67,20.38,14.0,16.33,17.33,17.5,13.5,15.42
Martín Merino,2000201919.0,7.0,15.12,6.25,5.33,4.83,4.0,12.25,17.17
Óscar Gil,67227188.0,13.33,19.88,23.25,20.5,12.83,10.83,8.5,17.67
Dídac,2000437768.0,9.0,13.25,12.5,13.0,12.33,15.33,12.5,14.5
Fernando Silva,2000439540.0,6.83,21.38,17.5,20.0,18.83,19.33,10.0,18.5
Luis Carbonell,95078291.0,11.5,16.62,13.5,14.67,16.5,14.33,7.5,16.42
Alejandro Balde,67296654.0,11.0,19.75,20.25,18.17,14.83,19.17,9.0,17.25
Carles Aleñá,67213011.0,8.83,15.88,12.5,22.5,19.0,18.33,9.0,18.67
Malcom,19229435.0,4.83,13.5,15.0,14.33,13.33,15.67,7.5,12.33
Marvin,67277459.0,7.17,15.88,15.0,15.83,14.0,16.33,6.0,13.67
Ander Imaz,2000439533.0,5.67,18.5,16.0,17.67,13.83,18.17,6.0,13.75
Jesus Carrasco,2000439537.0,4.0,12.25,15.0,12.0,9.67,13.0,9.5,10.0
Francisco Jesús,2000511084.0,12.67,19.12,16.5,15.0,12.83,16.5,11.0,15.67
Vladimir Moldovan,2000570460.0,15.67,18.5,12.0,20.5,16.5,17.67,13.0,17.42
Jorge Tato,2000571897.0,7.17,17.25,16.5,13.17,14.83,10.67,10.5,16.25
