Player,UID,WM,W,DW,IW,IF,WG
Diego Aizpurua,2000193388,7.2,7.5,8.9,9.6,9.0,7.42
Asier Grande,2000048078,12.2,13.0,13.5,12.4,11.9,12.25
Unai Vencedor,67260207,13.1,13.0,13.6,13.8,13.4,12.17
Josema,2000682315,14.2,13.1,14.0,14.8,14.1,12.83
Julen Letamendia,2000570277,12.7,12.7,13.8,13.0,12.6,12.08
Oihan Sancet,67260204,12.8,13.4,11.9,14.4,14.0,13.42
Íñigo Herrera,2000510687,12.3,13.5,11.0,12.9,12.6,12.83
Mikel Garai,2000438623,14.3,14.8,12.2,16.0,16.7,14.33
Fran Alonso,2000570282,12.3,13.4,10.9,13.4,13.1,13.42
Carlos Bidaurrázaga,2000573859,13.3,14.2,11.7,13.8,14.4,13.5
Romain Bertrand,2000438620,13.0,13.6,11.6,14.7,15.0,13.75
Íñigo Merino,2000442705,10.8,10.7,12.4,10.6,9.8,11.08
Javier Karanka,2000193733,13.0,14.3,10.7,12.1,11.9,13.42
Javier Arrue,2000438617,11.3,13.3,8.1,13.0,12.6,13.5
Aimar Oroz,67276375,12.4,12.4,11.1,13.8,13.1,11.33
Oier López,67277836,11.5,11.5,12.0,11.9,11.1,11.33
Unai Núñez,67214595,11.1,10.3,13.0,11.0,10.9,10.83
Yeray,67192475,11.9,10.8,14.2,11.7,11.6,11.17
Ander Guevara,67246381,12.6,11.1,13.2,13.7,13.2,11.08
Jon Magunazelaia,2000438619,13.1,13.4,10.9,13.7,13.2,12.58
