Player,UID,AMC,AP,T,SS,AM,EG
Gaizka Casado,2000629746,13.2,13.6,13.2,12.5,13.3,13.7
Diego Le Coz,2000566166,11.9,12.5,11.9,11.8,12.6,12.9
Pablo Pérez,2000511072,10.4,11.4,10.4,10.3,10.4,11.4
Cédric Basile,2000506654,11.8,11.4,11.8,11.1,11.5,10.6
Michele Faraone,2000439673,11.2,11.8,11.2,11.2,11.8,11.7
Roberto Aizpurua,2000439253,10.3,10.5,10.3,10.0,10.2,10.6
Pavel Sedlacek,2000567549,10.5,11.2,10.5,10.7,10.6,11.2
Adriano Ferazzoli,2000506119,12.5,13.1,12.5,12.3,12.4,12.9
Jason Faltermeier,2000435779,13.2,13.4,13.2,12.4,13.4,13.3
Nacer Brahimi,2000199524,9.6,8.9,9.6,9.0,9.5,8.8
Moussa Aboua,2000188777,12.1,13.0,12.1,11.4,12.0,12.3
Álejandro Gándara,2000737996,10.8,11.3,10.8,11.5,11.1,11.5
Vladimir Weber,2000709956,12.1,11.9,12.1,11.5,11.8,11.4
Lukas Majernik,2000709581,11.9,12.5,11.9,12.3,12.8,13.1
José Ángel Mansilla,2000631647,10.6,10.2,10.6,10.4,10.6,9.8
Frédéric Pelletier,2000573450,10.8,11.5,10.8,10.9,11.3,11.6
Pepe Martí,2000509918,11.2,10.9,11.2,9.8,10.7,10.2
Sebastian Stefansen,2000506681,9.7,10.7,9.7,11.2,10.5,11.0
Jonay,2000570836,10.7,10.3,10.7,10.5,10.6,9.3
Erik Kurdov,2000566868,9.7,9.0,9.7,8.3,8.7,8.2
Hervé Alves,2000566859,10.8,11.2,10.8,11.7,11.5,11.5
Cédric Picard,2000566055,9.6,8.8,9.6,8.7,8.8,7.8
Diego Sarriegi,2000439257,9.7,9.9,9.7,10.4,10.5,10.5
Juraj Horvath,2000189395,11.4,11.7,11.4,12.2,12.2,11.6
William Christoffersen,2000659946,7.7,7.0,7.7,7.2,7.8,6.2
Evangelos Alexopoulos,2000658599,10.0,10.2,10.0,10.5,10.7,10.7
Asgeir Granås,2000657174,9.3,8.7,9.3,8.6,9.2,8.4
Aitor Morcillo,2000631374,11.8,11.3,11.8,10.4,10.8,10.2
Juan Manuel,2000629223,8.5,7.6,8.5,6.7,7.9,7.3
Ruymán,2000442664,11.7,12.0,11.7,11.4,11.5,11.7
Iñaki Vélez,2000439250,9.9,9.3,9.9,9.0,9.3,8.9
Ramazan Cengiz,2000435409,9.7,9.9,9.7,10.2,10.5,10.3
Héctor Otiniano,2000647504,13.0,12.8,13.0,11.0,11.6,11.7
Jorge,2000571911,12.0,11.2,12.0,11.5,11.5,11.1
Armando D'Amato,2000567834,10.7,10.4,10.7,9.7,10.3,9.8
Cláudio Mendes,2000565719,9.7,8.6,9.7,7.7,8.2,7.8
Emanuel Busnja,2000567525,7.6,6.7,7.6,6.0,7.3,6.7
Mikel Oyarzun,2000439254,11.2,10.3,11.2,9.3,9.9,9.3
